Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Audi,,,,,,Fair Price,
Audi,,,,,,High Price,
Audi,,,,,,No Rating,
Audi,Audi Q3,Sportback 40TFSI Quattro S Line,Audi,64 250,Automatic,Great Price,R 539 990
Audi,Audi A1,Sportback 35TFSI,Audi,99 000,Automatic,Great Price,R 299 950
Audi,Audi Q2,35TFSI Advanced line,Audi,91 000,Automatic,Great Price,R 339 900
Audi,Audi RSQ8,Quattro,Audi,57 000,Automatic,Great Price,R 1 749 900
Audi,Audi Q2,30TFSI,Audi,35 254,Automatic,Great Price,R 359 900
Audi,Audi Q5,2.0TDI S Quattro Auto,Audi,240 000,Automatic,Great Price,R 139 900
Audi,Audi R8,5.2 V10 Quattro Auto,Audi,85 000,Automatic,No Rating,R 1 399 900
Audi,Audi Q3,2.0TDi,Audi,148 800,Manual,Fair Price,R 179 950
Audi,Audi A1,Sportback 30TFSI Black Edition,Audi,6 731,Automatic,Great Price,R 499 995
Audi,Audi Q5,40TDI Quattro Sport S Line Sports,Audi,70 000,Automatic,Great Price,R 479 900
Audi,,,,,,No Rating,
Audi,,,,,,No Rating,
Audi,,,,,,No Rating,
Audi,Audi A1,Sportback 35TFSI S Line,Audi,64 000,Automatic,No Rating,R 449 900
Audi,Audi Q5,Sportback 40TDI Quattro S Line,Audi,26 125,Automatic,Great Price,R 799 900
Audi,Audi A3,Sportback 35TFSI Urban Edition,Audi,37 000,Automatic,Great Price,R 509 900
Audi,Audi TT,Coupe 2.0TFSI,Audi,97 000,Automatic,Fair Price,R 359 899
Audi,ined,,ined,,,,
Audi,Audi TT,RS Coupe Quattro Auto,Audi,66 000,Automatic,No Rating,R 599 950
Audi,Audi S5,Coupe Quattro,Audi,162 000,Manual,No Rating,R 159 950
Audi,Audi A4,40TFSI,Audi,87 000,Automatic,No Rating,R 499 990
Audi,Audi A3,Sedan 35TFSI Black Edition,Audi,14 000,Automatic,Fair Price,R 669 900
Audi,Audi TT,Coupe 2.0TFSI,Audi,76 294,Automatic,Fair Price,R 399 950
Audi,Audi S3,Sportback Quattro,Audi,149 000,Automatic,Great Price,R 289 900
Audi,Audi A3,Sedan 30TFSI,Audi,119 000,Automatic,Fair Price,R 279 995
Audi,Audi A3,Sedan 35TFSI Black Edition,Audi,14 300,Automatic,Fair Price,R 679 900
Audi,Audi A1,Sportback 30TFSI,Audi,64 000,Automatic,No Rating,R 369 900
Audi,Audi RS5,Coupe Quattro,Audi,60 000,Automatic,No Rating,R 1 249 900
Audi,Audi Q3,Sportback 35TFSI Black Edition,Audi,9 500,Automatic,No Rating,R 769 900
Audi,,,,,,No Rating,
Audi,,,,,,Low Price,
Audi,,,,,,Great Price,
Audi,Audi TT,Coupe 2.0TFSI,Audi,76 294,Automatic,Fair Price,R 399 950
Audi,Audi Q3,Sportback 35TFSI S Line,Audi,58 035,Automatic,Fair Price,R 609 900
Audi,Audi A1,Sportback 1.4TFSI SE Auto,Audi,120 000,Automatic,Fair Price,R 219 900
Audi,Audi RS5,Sportback Quattro,Audi,23 000,Automatic,No Rating,R 1 349 900
Audi,ined,,ined,,,,
Audi,Audi RS5,Coupe Quattro,Audi,60 000,Automatic,No Rating,R 1 249 900
Audi,Audi A4,1.8T SE Sport Edition Plus Auto,Audi,167 789,Automatic,No Rating,R 179 990
Audi,Audi A1,Sportback 30TFSI,Audi,64 000,Automatic,No Rating,R 369 900
Audi,Audi A1,Sportback 30TFSI Black Edition,Audi,Automa,Petrol,No Rating,R 654 710
Audi,Audi A1,Sportback 30TFSI Black Edition,Audi,Automa,Petrol,No Rating,R 637 129
Audi,Audi Q2,Sportback 35TFSI Black Edition  110kW,Audi,1 000,Automatic,No Rating,R 789 900
Audi,,,,,,Fair Price,
Audi,,,,,,No Rating,
Audi,,,,,,Fair Price,
Audi,Audi A1,Sportback 30TFSI Black Edition,Audi,Automa,Petrol,No Rating,R 654 710
Audi,Audi Q8,55TFSI Quattro,Audi,50 000,Automatic,Fair Price,R 929 900
Audi,Audi Q5,Sportback 40TDI Quattro Black Edition,Audi,3 000,Automatic,No Rating,R 1 189 000
Audi,Audi S3,Sportback Quattro,Audi,76 092,Automatic,Fair Price,R 549 850
Audi,Audi Q5,Sportback 40TDI Quattro Advanced,Audi,29 482,Automatic,No Rating,R 819 890
Audi,Audi Q5,Sportback 40TDI Quattro Advanced,Audi,69 200,Automatic,Fair Price,R 769 995
Audi,Audi A5,Sportback 2.0TDI,Audi,126 600,Automatic,No Rating,R 299 950
Audi,Audi Q5,Sportback 40TDI Quattro Black Edition,Audi,1 500,Automatic,No Rating,R 1 228 950
Audi,Audi Q3,1.4TFSI Auto,Audi,133 000,Automatic,Fair Price,R 249 990
Audi,Audi A3,Sedan 30TFSI,Audi,119 000,Automatic,Fair Price,R 279 995
Audi,Audi S5,Coupe Quattro,Audi,102 883,Automatic,No Rating,R 589 000
Audi,Audi A3,Sportback 35TFSI,Audi,81 300,Automatic,Great Price,R 329 890
Audi,Audi Q8,45TDI Quattro Black Edition,Audi,13 283,Automatic,No Rating,R 1 749 990
Audi,Audi A3,Sportback 35TFSI Advanced,Audi,22 900,Automatic,Great Price,R 539 950
Audi,Audi A3,Sedan 35TFSI Black Edition,Audi,16 000,Automatic,Fair Price,R 699 900
Audi,,,,,,Fair Price,
Audi,,,,,,No Rating,
Audi,,,,,,Fair Price,
Audi,Audi Q3,35TFSI,Audi,50 000,Automatic,Great Price,R 422 042
Audi,Audi RS3,Sedan Quattro,Audi,1 659,Automatic,No Rating,R 1 535 000
Audi,Audi A1,Sportback 30TFSI Black Edition,Audi,300,Automatic,No Rating,R 539 990
Audi,Audi A1,Sportback 30TFSI Advanced,Audi,300,Automatic,No Rating,R 469 990
Audi,Audi Q3,Sportback 35TFSI Black Edition,Audi,500,Automatic,No Rating,R 889 990
Audi,Audi S3,Sedan Quattro,Audi,84 727,Automatic,Fair Price,R 549 900
Audi,Audi A3,Sedan 1.4TFSI SE Auto,Audi,132 899,Automatic,Fair Price,R 219 950
Audi,Audi RS3,Sedan Quattro,Audi,Automa,Petrol,No Rating,R 1 636 400
Audi,Audi A1,Sportback 30TFSI Black Edition,Audi,Automa,Petrol,No Rating,R 649 540
Audi,Audi A1,Sportback 30TFSI Black Edition,Audi,Automa,Petrol,No Rating,R 647 920
Audi,,,,,,No Rating,
Audi,,,,,,No Rating,
Audi,,,,,,No Rating,
Audi,Audi Q7,45TDI Quattro S Line,Audi,73 046,Automatic,Great Price,R 889 900
Audi,Audi Q3,1.4TFSI Auto,Audi,66 000,Automatic,Great Price,R 269 990
Audi,Audi Q2,35TFSI,Audi,80 000,Automatic,Great Price,R 339 900
Audi,Audi TT,Coupe 2.0TFSI,Audi,84 500,Automatic,Fair Price,R 369 995
Audi,Audi RSQ3,Sportback Quattro,Audi,35 000,Automatic,Fair Price,R 1 150 000
Audi,Audi Q7,45TDI Quattro S Line,Audi,129 493,Automatic,No Rating,R 799 900
