Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
BMW,,,,,,Great Price,
BMW,,,,,,High Price,
BMW,,,,,,Fair Price,
BMW,BMW X3,sDrive18d M Sport,BMW ,58 998,Automatic,Great Price,R 529 950
BMW,BMW X4,xDrive20d M Sport,BMW ,150 150,Automatic,Great Price,R 269 950
BMW,BMW 3 Series,320i M Sport,BMW ,20 950,Automatic,Great Price,R 699 900
BMW,BMW X4,xDrive20d M Sport,BMW ,4 692,Automatic,Great Price,R 1 099 900
BMW,BMW X4,xDrive20d M Sport,BMW ,24 000,Automatic,Great Price,R 1 028 500
BMW,BMW 3 Series,320i M Sport,BMW ,19 800,Automatic,Great Price,R 798 500
BMW,BMW iX,xDrive40,BMW ,3 500,Automatic,Great Price,R 1 108 500
BMW,BMW X1,sDrive18i,BMW ,59 992,Automatic,Great Price,R 379 950
BMW,BMW 1 Series,118 M Sport,BMW ,11 000,Automatic,Great Price,R 669 900
BMW,BMW X6,M50d,BMW ,58 000,Automatic,Great Price,R 989 900
BMW,,,,,,Fair Price,
BMW,,,,,,Fair Price,
BMW,,,,,,No Rating,
BMW,BMW 3 Series,330is Edition,BMW ,48 250,Automatic,Great Price,R 659 950
BMW,BMW X1,sDrive18d M Sport,BMW ,4 600,Automatic,Great Price,R 849 999
BMW,BMW 8 Series,M850i xDrive Coupe,BMW ,38 000,Automatic,Great Price,R 899 950
BMW,BMW 3 Series,320i M Sport,BMW ,56 626,Automatic,Great Price,R 559 900
BMW,BMW X6,M,BMW ,103 000,Automatic,Great Price,R 819 000
BMW,BMW X4,xDrive20d M Sport,BMW ,40 000,Automatic,Great Price,R 879 990
BMW,BMW X5,xDrive30d M Sport,BMW ,8 700,Automatic,Great Price,R 1 799 990
BMW,BMW X1,sDrive18i M Sport,BMW ,55 000,Automatic,Great Price,R 499 990
BMW,ined,,ined,,,,
BMW,BMW X3,xDrive30d M Sport,BMW ,71 000,Automatic,Great Price,R 729 900
BMW,BMW X1,sDrive18d M Sport,BMW ,23 000,Automatic,Great Price,R 719 900
BMW,BMW XM,XM,BMW ,18 000,Automatic,Great Price,R 2 449 990
BMW,BMW 1 Series,118 M Sport,BMW ,25 000,Automatic,Great Price,R 649 990
BMW,BMW X3,sDrive18d M Sport,BMW ,75 000,Automatic,Great Price,R 499 899
BMW,BMW M5,Competition,BMW ,43 000,Automatic,Great Price,R 1 139 900
BMW,BMW X1,sDrive18d M Sport,BMW ,16 698,Automatic,Great Price,R 784 950
BMW,,,,,,No Rating,
BMW,,,,,,Great Price,
BMW,,,,,,Fair Price,
BMW,BMW XM,XM,BMW ,17 000,Automatic,Great Price,R 2 499 000
BMW,BMW 3 Series,320i M Sport,BMW ,93 000,Automatic,,POA
BMW,BMW 7 Series,740i M Sport,BMW ,105 000,Automatic,Great Price,R 572 888
BMW,BMW 1 Series,118 M Sport,BMW ,18 500,Automatic,Great Price,R 669 000
BMW,BMW X4,xDrive20d M Sport,BMW ,115 000,Automatic,Great Price,R 379 500
BMW,BMW 2 Series,218i Gran Coupe M Sport,BMW ,20 000,Automatic,Great Price,R 529 950
BMW,BMW X3,30e xDrive M Sport,BMW ,26 000,Automatic,Great Price,R 1 139 000
BMW,BMW X3,xDrive20d M Sport,BMW ,96 000,Automatic,Great Price,R 449 000
BMW,BMW 1 Series,118i 5-Door Auto,BMW ,125 000,Automatic,Great Price,R 169 900
BMW,BMW X3,xDrive20d M Sport,BMW ,43 000,Automatic,Fair Price,R 819 900
BMW,,,,,,Fair Price,
BMW,,,,,,No Rating,
BMW,,,,,,No Rating,
BMW,ined,,ined,,,,
BMW,BMW 1 Series,M135i xDrive Mzansi Edition,BMW ,15 300,Automatic,Great Price,R 849 990
BMW,BMW M4,Coupe Auto,BMW ,63 300,Automatic,Fair Price,R 729 900
BMW,BMW M4,Competition Coupe M xDrive,BMW ,11 420,Automatic,Great Price,R 1 749 900
BMW,BMW 3 Series,320i M Sport,BMW ,44 000,Automatic,Great Price,R 499 000
BMW,BMW X7,M50i,BMW ,46 000,Automatic,Great Price,R 1 299 000
BMW,BMW 2 Series,218i Gran Coupe M Sport,BMW ,38 000,Automatic,Great Price,R 489 900
BMW,BMW X5,xDrive30d M Sport Pro,BMW ,9 000,Automatic,Great Price,R 1 799 000
