Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
Bentley,Bentley Continental,GT W12,Bent,50 000,Automatic,No Rating,R 1 599 990
Bentley,Bentley Continental,GT,Bent,125 000,Automatic,No Rating,R 599 900
Bentley,ined,,ined,,,,
Bentley,Bentley Bentayga,Diesel,Bent,82 000,Automatic,No Rating,R 2 599 900
Bentley,Bentley Continental,GT V8,Bent,82 000,Automatic,No Rating,R 1 100 000
Bentley,Bentley Bentayga,Diesel,Bent,54 500,Automatic,No Rating,R 2 199 999
Bentley,Bentley Continental,GT Speed W12,Bent,37 000,Automatic,No Rating,R 2 199 950
Bentley,Bentley Bentayga,Atelier Edition,Bent,500,Automatic,No Rating,R 5 760 000
Bentley,Bentley Bentayga,S,Bent,38 000,Automatic,No Rating,R 4 399 000
Bentley,Bentley Continental,GT W12 Convertible,Bent,10 000,Automatic,No Rating,R 4 599 999
Bentley,Bentley Flying Spur,Speed,Bent,20 000,Automatic,No Rating,R 6 199 950
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
Bentley,Bentley Flying Spur,W12,Bent,61 000,Automatic,No Rating,R 1 649 950
Bentley,Bentley Continental,GT V8 S,Bent,95 000,Automatic,No Rating,R 1 888 888
Bentley,Bentley Flying Spur,W12,Bent,59 995,Automatic,No Rating,R 1 599 950
Bentley,Bentley Bentayga,S,Bent,15 000,Automatic,No Rating,R 4 899 999
Bentley,Bentley Brooklands,Brooklands Turbo,Bent,45 268,Automatic,No Rating,R 6 999 000
Bentley,Bentley Bentayga,Azure,Bent,2 700,Automatic,No Rating,R 5 599 995
Bentley,Bentley Continental,GT Speed Coupe,Bent,3 500,Automatic,No Rating,R 5 599 995
Bentley,Bentley Continental,GT,Bent,85 711,Automatic,No Rating,R 699 000
Bentley,Bentley Continental,GT V8 S,Bent,30 000,Automatic,No Rating,R 2 399 900
Bentley,Bentley Continental,GT V8 S Coupe,Bent,29 000,Automatic,No Rating,R 2 495 000
Bentley,Bentley Continental,SuperSports,Bent,66 000,Automatic,No Rating,R 1 999 000
Bentley,Bentley Continental,GT V8 S Convertible,Bent,21 000,Automatic,No Rating,R 2 599 900
Bentley,Bentley Flying Spur,W12,Bent,17 500,Automatic,,POA
Bentley,Bentley Continental,GT Speed Coupe,Bent,6 000,Automatic,No Rating,R 5 495 000
Bentley,Bentley Flying Spur,V8 S,Bent,2 700,Automatic,No Rating,R 5 495 000
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
Bentley,Bentley Flying Spur,V8 Azure,Bent,1 000,Automatic,No Rating,R 5 995 000
Bentley,Bentley Bentayga,Azure,Bent,1 500,Automatic,No Rating,R 5 795 000
Bentley,Bentley Bentayga,V8,Bent,20 000,Automatic,No Rating,R 4 299 900
Bentley,Bentley Flying Spur,Speed,Bent,2 000,Automatic,No Rating,R 7 495 000
Bentley,ined,,ined,,,,
Bentley,Bentley Bentayga,V8,Bent,1 500,Automatic,No Rating,R 5 695 000
Bentley,Bentley Bentayga,V8,Bent,1 000,Automatic,No Rating,R 5 595 000
Bentley,Bentley Bentayga,V8,Bent,1 000,Automatic,No Rating,R 5 495 000
Bentley,Bentley Flying Spur,Hybrid,Bent,1 000,Automatic,No Rating,R 5 395 000
Bentley,Bentley Flying Spur,V8 Azure,Bent,1 000,Automatic,No Rating,R 5 495 000
Bentley,Bentley Flying Spur,V8,Bent,52 500,Automatic,No Rating,R 1 799 990
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
Bentley,Bentley Bentayga,Speed,Bent,39 820,Automatic,,POA
Bentley,Bentley Flying Spur,V8 Azure,Bent,16 000,Automatic,No Rating,R 4 999 990
Bentley,Bentley Bentayga,S,Bent,21 000,Automatic,No Rating,R 4 899 990
Bentley,Bentley Continental,GT V8 Coupe,Bent,53 000,Automatic,No Rating,R 1 899 900
Bentley,Bentley Flying Spur,V8,Bent,34 474,Automatic,No Rating,R 1 999 999
Bentley,Bentley Bentayga,V8,Bent,18 000,Automatic,No Rating,R 3 999 995
Bentley,Bentley Flying Spur,Speed,Bent,20 000,Automatic,No Rating,R 6 199 950
Bentley,Bentley Continental,GT W12 Coupe,Bent,18 571,Automatic,No Rating,R 4 399 000
Bentley,Bentley Continental,GT V8 Coupe,Bent,82 000,Automatic,No Rating,R 1 549 500
Bentley,Bentley Flying Spur,V8,Bent,40 000,Automatic,No Rating,R 1 775 000
Bentley,Bentley Continental,GT,Bent,83 000,Automatic,No Rating,R 1 699 995
Bentley,Bentley Bentayga,V8,Bent,648,Automatic,No Rating,R 5 200 000
Bentley,Bentley Bentayga,V8,Bent,53 200,Automatic,No Rating,R 2 499 900
Bentley,Bentley Flying Spur,W12,Bent,43 000,Automatic,No Rating,R 3 499 995
Bentley,Bentley Bentayga,S,Bent,15 000,Automatic,No Rating,R 4 899 900
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
Bentley,Bentley Bentayga,Diesel,Bent,82 000,Automatic,No Rating,R 2 599 900
Bentley,Bentley Bentayga,Diesel,Bent,54 500,Automatic,No Rating,R 2 199 999
Bentley,ined,,ined,,,,
Bentley,Bentley Bentayga,Atelier Edition,Bent,500,Automatic,No Rating,R 5 760 000
Bentley,Bentley Bentayga,S,Bent,38 000,Automatic,No Rating,R 4 399 000
Bentley,Bentley Continental,GT W12 Convertible,Bent,10 000,Automatic,No Rating,R 4 599 999
Bentley,Bentley Flying Spur,Speed,Bent,20 000,Automatic,No Rating,R 6 199 950
Bentley,Bentley Flying Spur,W12,Bent,61 000,Automatic,No Rating,R 1 649 950
Bentley,Bentley Continental,GT V8 S,Bent,95 000,Automatic,No Rating,R 1 888 888
Bentley,Bentley Flying Spur,W12,Bent,59 995,Automatic,No Rating,R 1 599 950
Bentley,Bentley Bentayga,S,Bent,15 000,Automatic,No Rating,R 4 899 999
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
