Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Ferrari,,,,,,No Rating,
Ferrari,,,,,,No Rating,
Ferrari,Ferrari 308,GTB,Ferr,65 000,Manual,No Rating,R 2 795 000
Ferrari,ined,,ined,,,,
Ferrari,Ferrari F8,Spider,Ferr,5 600,Automatic,,POA
Ferrari,Ferrari 812,Superfast,Ferr,3 000,Automatic,,POA
Ferrari,Ferrari 458,Spider,Ferr,18 000,Automatic,Fair Price,R 4 999 995
Ferrari,Ferrari California,T,Ferr,14 000,Automatic,No Rating,R 2 839 950
Ferrari,Ferrari 296,GTS,Ferr,500,Automatic,No Rating,R 9 295 000
Ferrari,Ferrari F8,Tributo,Ferr,1 200,Automatic,,POA
Ferrari,Ferrari Portofino,Portofino,Ferr,8 900,Automatic,No Rating,R 4 495 000
Ferrari,Ferrari 599,GTB,Ferr,30 500,Automatic,No Rating,R 2 295 000
Ferrari,Ferrari 488,488 Pista,Ferr,5 600,Automatic,,POA
Ferrari,,,,,,No Rating,
Ferrari,,,,,,No Rating,
Ferrari,Ferrari 488,Spider,Ferr,12 980,Automatic,Fair Price,R 5 999 999
Ferrari,Ferrari F430,F1,Ferr,24 300,Automatic,,POA
Ferrari,Ferrari California,30,Ferr,12 200,Automatic,No Rating,R 2 350 000
Ferrari,Ferrari California,T,Ferr,17 000,Automatic,No Rating,R 2 999 995
Ferrari,Ferrari 296,GTB,Ferr,1 800,Automatic,No Rating,R 7 795 000
Ferrari,Ferrari FF,FF,Ferr,36 800,Automatic,High Price,R 2 895 000
Ferrari,Ferrari Portofino,Portofino,Ferr,15 800,Automatic,No Rating,R 4 395 000
Ferrari,Ferrari California,30,Ferr,29 500,Automatic,No Rating,R 2 099 000
Ferrari,Ferrari 512,Berlinetta Boxer,Ferr,101 850,Manual,No Rating,R 3 999 950
Ferrari,Ferrari California,California,Ferr,34 000,Automatic,Fair Price,R 1 999 900
Ferrari,Ferrari 355,F1 Spider,Ferr,38 600,Automatic,No Rating,R 2 200 000
Ferrari,Ferrari 488,Spider,Ferr,22 800,Automatic,High Price,R 5 799 995
Ferrari,Ferrari 488,488 GTB,Ferr,8 700,Automatic,High Price,R 7 999 999
Ferrari,Ferrari Roma,Roma,Ferr,12 000,Automatic,No Rating,R 4 799 995
Ferrari,Ferrari 488,488 GTB,Ferr,12 000,Automatic,Fair Price,R 5 499 995
Ferrari,,,,,,No Rating,
Ferrari,,,,,,No Rating,
Ferrari,Ferrari 812,Superfast,Ferr,1 500,Automatic,No Rating,R 8 999 900
Ferrari,Ferrari Portofino,Portofino,Ferr,23 000,Automatic,No Rating,R 4 299 900
Ferrari,Ferrari SF90,Stradale,Ferr,1 900,Automatic,No Rating,R 12 999 995
Ferrari,Ferrari 488,Spider,Ferr,17 446,Automatic,Fair Price,R 5 499 990
Ferrari,Ferrari F8,Spider,Ferr,15 000,Automatic,,POA
Ferrari,ined,,ined,,,,
Ferrari,Ferrari 488,Spider,Ferr,15 000,Automatic,Fair Price,R 5 999 999
Ferrari,Ferrari F8,Tributo,Ferr,4 400,Automatic,,POA
Ferrari,Ferrari 296,GTB,Ferr,5 750,Automatic,No Rating,R 7 785 000
Ferrari,Ferrari Roma,Roma,Ferr,7 933,Automatic,No Rating,R 4 999 000
Ferrari,Ferrari F12,TDF,Ferr,7 600,Automatic,,POA
Ferrari,,,,,,High Price,
Ferrari,Ferrari 488,488 GTB,Ferr,4 673,Automatic,High Price,R 5 999 900
Ferrari,Ferrari FF,FF,Ferr,11 000,Automatic,No Rating,R 3 599 999
Ferrari,Ferrari 488,Spider,Ferr,11 730,Automatic,,POA
Ferrari,Ferrari Roma,Spider,Ferr,80,Automatic,No Rating,R 6 295 000
Ferrari,Ferrari 296,GTS,Ferr,5 070,Automatic,No Rating,R 8 795 000
Ferrari,Ferrari 296,GTB,Ferr,1 100,Automatic,No Rating,R 8 999 995
Ferrari,Ferrari Roma,Spider,Ferr,3 200,Automatic,No Rating,R 5 995 000
Ferrari,Ferrari Purosangue,Purosangue,Ferr,7 260,Automatic,,POA
Ferrari,Ferrari Roma,Roma,Ferr,4 000,Automatic,,POA
Ferrari,Ferrari Roma,Spider,Ferr,4 500,Automatic,No Rating,R 5 995 000
Ferrari,Ferrari 488,488 GTB,Ferr,17 000,Automatic,Fair Price,R 5 299 999
Ferrari,Ferrari Roma,Roma,Ferr,12 900,Automatic,No Rating,R 4 699 995
Ferrari,Ferrari 296,GTB,Ferr,4 380,Automatic,No Rating,R 7 695 000
Ferrari,Ferrari 488,488 GTB,Ferr,29 700,Automatic,Fair Price,R 4 999 500
Ferrari,Ferrari SF90,Stradale,Ferr,1 600,Automatic,No Rating,R 14 500 000
Ferrari,,,,,,No Rating,
Ferrari,Ferrari 488,488 GTB,Ferr,18 000,Automatic,Fair Price,R 5 199 995
Ferrari,Ferrari Portofino,Portofino,Ferr,21 300,Automatic,No Rating,R 4 295 000
Ferrari,Ferrari 296,GTB,Ferr,3 260,Automatic,No Rating,R 7 695 000
Ferrari,Ferrari 296,GTS,Ferr,250,Automatic,No Rating,R 9 325 000
Ferrari,Ferrari SF90,Stradale,Ferr,100,Automatic,No Rating,R 14 250 000
Ferrari,Ferrari 812,Superfast,Ferr,14 400,Automatic,,POA
Ferrari,Ferrari 296,GTB,Ferr,500,Automatic,No Rating,R 7 995 000
Ferrari,ined,,ined,,,,
Ferrari,Ferrari Portofino,M,Ferr,3 500,Automatic,No Rating,R 5 499 900
Ferrari,Ferrari Purosangue,Purosangue,Ferr,700,Automatic,No Rating,R 15 999 995
Ferrari,Ferrari 488,Spider,Ferr,24 000,Automatic,High Price,R 5 999 995
Ferrari,Ferrari 296,GTB,Ferr,3 950,Automatic,No Rating,R 7 495 000
Ferrari,Ferrari 458,Italia,Ferr,11 000,Automatic,Fair Price,R 4 899 900
Ferrari,Ferrari 488,488 GTB,Ferr,5 200,Automatic,High Price,R 5 799 995
Ferrari,Ferrari SF90,Spider,Ferr,300,Automatic,,POA
Ferrari,Ferrari 296,GTB,Ferr,3 900,Automatic,No Rating,R 8 349 000
Ferrari,Ferrari F8,Tributo,Ferr,4 800,Automatic,,POA
Ferrari,,,,,,High Price,
Ferrari,,,,,,High Price,
Ferrari,Ferrari F8,Spider,Ferr,5 600,Automatic,,POA
Ferrari,Ferrari 812,Superfast,Ferr,3 000,Automatic,,POA
Ferrari,Ferrari California,T,Ferr,14 000,Automatic,No Rating,R 2 839 950
Ferrari,Ferrari 296,GTS,Ferr,500,Automatic,No Rating,R 9 295 000
Ferrari,Ferrari F8,Tributo,Ferr,1 200,Automatic,,POA
Ferrari,Ferrari Portofino,Portofino,Ferr,8 900,Automatic,No Rating,R 4 495 000
