Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Fiat,,,,,,No Rating,
Fiat,,,,,,Fair Price,
Fiat,,,,,,No Rating,
Fiat,Fiat 500X,1.4T Sport,Fiat,37 000,Automatic,Fair Price,R 319 900
Fiat,Fiat 500X,1.4T Sport,Fiat,66 000,Automatic,Great Price,R 319 900
Fiat,ined,,ined,,,,
Fiat,Fiat Panda,0.9 TwinAir 4x4 Cross,Fiat,84 000,Manual,No Rating,R 179 900
Fiat,Fiat 500,500S TwinAir Sport,Fiat,65 000,Manual,No Rating,R 219 900
Fiat,Fiat 500,TwinAir Dolcevita,Fiat,28 316,Automatic,Great Price,R 214 900
Fiat,Fiat 500,500S TwinAir Cabriolet,Fiat,95 000,Manual,No Rating,R 179 995
Fiat,Fiat Panda,1.2 4x4 Climbing,Fiat,169 000,Manual,No Rating,R 79 950
Fiat,Fiat 500X,1.4T Sport,Fiat,45 000,Automatic,Fair Price,R 319 900
Fiat,Fiat Doblo,Cargo Maxi 1.6 Multijet Panel Van SX,Fiat,60 000,Manual,No Rating,R 289 900
Fiat,Fiat 500,TwinAir Cult,Fiat,24 500,Automatic,Fair Price,R 229 900
Fiat,,,,,,Fair Price,
Fiat,,,,,,Great Price,
Fiat,,,,,,Fair Price,
Fiat,Fiat Fullback,2.5DI-D Double Cab,Fiat,140 000,Manual,No Rating,R 229 500
Fiat,Fiat Ducato,2.3 XLH2 HR,Fiat,307 366,Manual,No Rating,R 280 000
Fiat,Fiat 500,500C 1.2,Fiat,101 000,Manual,No Rating,R 99 900
Fiat,Fiat 500,1.4 Lounge,Fiat,144 320,Manual,No Rating,R 119 900
Fiat,Fiat 500,TwinAir Dolcevita,Fiat,62 000,Automatic,Great Price,R 199 900
Fiat,Fiat Panda,1.2 Dynamic,Fiat,182 000,Manual,No Rating,R 47 900
Fiat,Fiat 500X,1.4T Cross Auto,Fiat,55 000,Automatic,Great Price,R 184 900
Fiat,Fiat 500X,1.4T Sport,Fiat,49 000,Automatic,Fair Price,R 329 899
Fiat,Fiat 500L,1.4 Easy,Fiat,94 000,Manual,No Rating,R 159 900
Fiat,Fiat 500,500S TwinAir LE,Fiat,91 370,Manual,No Rating,R 149 900
Fiat,Fiat 500,TwinAir 63kW Lounge,Fiat,84 000,Manual,No Rating,R 149 950
Fiat,Fiat 500,500C 1.2 Style,Fiat,6 000,Automatic,No Rating,R 269 900
Fiat,Fiat Panda,0.9 TwinAir 4x4 Cross,Fiat,35 950,Manual,No Rating,R 179 999
Fiat,Fiat 500X,1.4T Cross,Fiat,79 000,Manual,No Rating,R 154 500
Fiat,Fiat 500,500C TwinAir Rockstar,Fiat,52 000,Manual,No Rating,R 219 900
Fiat,,,,,,Great Price,
Fiat,,,,,,Fair Price,
Fiat,,,,,,No Rating,
Fiat,Fiat Fullback,2.5DI-D Double Cab,Fiat,193 962,Manual,No Rating,R 229 900
Fiat,Fiat 500X,1.4T Sport,Fiat,45 000,Automatic,No Rating,R 349 800
Fiat,Fiat 500,TwinAir Dolcevita,Fiat,64 000,Automatic,Fair Price,R 229 900
Fiat,Fiat Fullback,2.5DI-D Double Cab,Fiat,111 000,Manual,No Rating,R 299 899
Fiat,Fiat 500X,1.4T Sport,Fiat,29 500,Automatic,High Price,R 399 800
Fiat,Fiat Panda,0.9 TwinAir Lounge,Fiat,101 392,Manual,Fair Price,R 129 900
Fiat,Fiat Tipo,Sedan 1.4,Fiat,30 000,Manual,No Rating,R 249 900
Fiat,Fiat 500,TwinAir Pop Star Auto,Fiat,110 000,Automatic,No Rating,R 139 899
Fiat,Fiat 500,TwinAir 63kW Lounge,Fiat,106 000,Manual,No Rating,R 139 899
Fiat,Fiat 500X,1.4T Cross Auto,Fiat,82 000,Automatic,No Rating,R 179 899
Fiat,ined,,ined,,,,
Fiat,,,,,,Fair Price,
Fiat,,,,,,Fair Price,
Fiat,,,,,,Fair Price,
Fiat,Fiat 500,TwinAir Pop,Fiat,80 000,Manual,No Rating,R 139 900
Fiat,Fiat Fiorino,1.4 Panel Van,Fiat,10 000,Manual,No Rating,R 259 900
Fiat,Fiat 500,1.2 Lounge,Fiat,112 000,Manual,No Rating,R 129 995
Fiat,Fiat 500X,1.4T Sport,Fiat,45 619,Automatic,Fair Price,R 314 900
Fiat,Fiat 500,1.2 Lounge Auto,Fiat,72 165,Automatic,No Rating,R 179 900
Fiat,Fiat Panda,0.9 TwinAir 4x4,Fiat,71 597,Manual,No Rating,R 169 900
Fiat,Fiat 500,TwinAir Dolcevita,Fiat,35 000,Automatic,Fair Price,R 249 900
Fiat,Fiat 500,TwinAir Sport,Fiat,47 300,Manual,Fair Price,R 219 900
Fiat,Fiat 500X,1.6 Pop,Fiat,118 000,Manual,No Rating,R 109 995
Fiat,Fiat 500,TwinAir Cult,Fiat,31 000,Manual,No Rating,R 199 900
Fiat,Fiat 500,TwinAir Dolcevita,Fiat,47 424,Automatic,Great Price,R 228 900
