Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Ford,,,,,,No Rating,
Ford,,,,,,No Rating,
Ford,,,,,,Fair Price,
Ford,Ford Everest,2.0 Biturbo XLT,Ford,35 000,Automatic,Great Price,R 689 900
Ford,ined,,ined,,,,
Ford,Ford Ranger,2.0 Biturbo Double Cab Wildtrak 4x4,Ford,42 862,Automatic,Great Price,R 738 500
Ford,Ford Ranger,3.0TD V6 Double Cab Wildtrak 4WD,Ford,22 024,Automatic,Great Price,R 839 500
Ford,Ford Everest,3.0TD V6 4WD Platinum,Ford,5 000,Automatic,Great Price,R 999 990
Ford,Ford Ranger,2.0SiT Double Cab Hi-Rider XLT,Ford,80 000,Automatic,Great Price,R 409 900
Ford,Ford Ranger,2.2TDCi Double Cab Hi-Rider XL,Ford,35 389,Manual,Great Price,R 369 900
Ford,Ford Ranger,2.0Bi-Turbo Double Cab Hi-Rider Wildtrak,Ford,167 000,Automatic,Great Price,R 389 995
Ford,Ford EcoSport,1.5TDCi Ambiente,Ford,160 000,Manual,Great Price,R 149 900
Ford,Ford Ranger,3.0 V6 Ecoboost Double Cab Raptor 4WD,Ford,80 000,Automatic,Great Price,R 889 900
Ford,Ford Ranger,2.2TDCi Double Cab Hi-Rider XL,Ford,65 078,Manual,Great Price,R 349 900
Ford,,,,,,No Rating,
Ford,,,,,,No Rating,
Ford,,,,,,No Rating,
Ford,Ford Figo,Hatch 1.5 Ambiente,Ford,107 000,Manual,Great Price,R 99 900
Ford,Ford Tourneo Custom,2.0SiT LWB Trend,Ford,68 127,Automatic,Great Price,R 519 800
Ford,Ford Transit Custom,2.0SIT Panel Van Sport,Ford,3 000,Automatic,Great Price,R 689 900
Ford,Ford Transit Custom,2.0SIT Panel Van Sport,Ford,3 000,Automatic,Great Price,R 689 900
Ford,Ford Territory,1.8T Trend,Ford,3 743,Automatic,Great Price,R 489 900
Ford,Ford Everest,2.0Bi-Turbo 4WD Limited,Ford,86 855,Automatic,Great Price,R 489 900
Ford,Ford Everest,2.0 Biturbo Sport,Ford,24 486,Automatic,Great Price,R 759 900
Ford,Ford Fiesta,5-door 1.4 Ambiente,Ford,217 000,Manual,Great Price,R 69 900
Ford,Ford Fiesta,5-Door 1.0T Trend Auto,Ford,162 441,Automatic,Fair Price,R 149 900
