Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
GWM,,,,,,No Rating,
GWM,,,,,,No Rating,
GWM,,,,,,Fair Price,
GWM,GWM P-Series,2.0TD Double Cab LT,GWM ,21 170,Automatic,Great Price,R 429 800
GWM,GWM Steed 5,2.2MPi Double Cab,GWM ,132 000,Manual,Great Price,R 129 800
GWM,GWM P-Series,2.0TD Double Cab DLX Auto,GWM ,60 504,Automatic,Great Price,R 349 900
GWM,GWM P-Series,2.0TD Double Cab LS,GWM ,109 000,Automatic,Great Price,R 309 900
GWM,GWM P-Series,2.0TD Double Cab LT,GWM ,67 809,Automatic,Great Price,R 389 800
GWM,GWM P300,2.0T Single Cab SX,GWM ,500,Manual,No Rating,R 359 900
GWM,GWM Steed 5,2.0VGT Double Cab SX,GWM ,41 944,Manual,Great Price,R 279 990
GWM,GWM P-Series,2.0TD Double Cab LT,GWM ,63 715,Automatic,Great Price,R 389 990
GWM,GWM P-Series,2.0TD Double Cab LT 4x4,GWM ,24 250,Automatic,Fair Price,R 489 800
GWM,GWM P300,2.0T Double Cab SX Auto,GWM ,500,Automatic,No Rating,R 424 900
GWM,,,,,,High Price,
GWM,,,,,,No Rating,
GWM,,,,,,No Rating,
GWM,GWM P-Series,2.0TD Double Cab LT,GWM ,114 488,Automatic,Fair Price,R 379 900
GWM,GWM Steed 5,2.0VGT Double Cab SX 4WD,GWM ,57 615,Manual,No Rating,R 299 900
GWM,GWM Steed 5,2.0VGT Double Cab SX,GWM ,60 000,Manual,Fair Price,R 284 888
GWM,GWM P-Series,2.0TD Double Cab SX Manual,GWM ,22 000,Manual,No Rating,R 379 950
GWM,GWM Tank 300,2.4T Luxury,GWM ,10,Automatic,No Rating,R 574 800
GWM,GWM Tank 300,2.4T Luxury,GWM ,1 500,Automatic,No Rating,R 589 800
GWM,GWM P300,2.0T Single Cab SX,GWM ,15,Manual,No Rating,R 389 900
GWM,ined,,ined,,,,
GWM,GWM P-Series,2.0TD Double Cab DLX Auto,GWM ,55 000,Automatic,Great Price,R 299 800
GWM,GWM P300,2.4T Double Cab LS,GWM ,191,Automatic,No Rating,R 529 950
GWM,GWM P300,2.0T Double Cab SX Auto,GWM ,1 567,Automatic,No Rating,R 389 950
GWM,GWM P-Series,2.0TD Double Cab LS,GWM ,37 963,Automatic,Great Price,R 399 995
GWM,GWM P300,2.0T Single Cab SX,GWM ,50,Manual,No Rating,R 425 900
GWM,GWM Tank 300,2.4T Ultra Luxury 4WD,GWM ,Automa,Diesel,No Rating,R 719 900
GWM,GWM Tank 300,2.4T Ultra Luxury 4WD,GWM ,32 744,Automatic,No Rating,R 599 900
GWM,GWM Tank 300,2.4T Luxury,GWM ,Automa,Diesel,No Rating,R 649 900
GWM,,,,,,No Rating,
GWM,,,,,,High Price,
GWM,,,,,,No Rating,
GWM,GWM P-Series,2.0TD SX,GWM ,59 000,Manual,Fair Price,R 269 990
GWM,GWM P-Series,2.0TD Double Cab LT,GWM ,113 000,Automatic,Great Price,R 350 000
GWM,GWM Steed 5,2.0VGT S,GWM ,24 800,Manual,Fair Price,R 249 900
GWM,GWM P-Series,2.0TD Double Cab LS,GWM ,75 000,Automatic,Fair Price,R 359 900
GWM,GWM Tank 300,2.4T Super Luxury 4WD,GWM ,2 500,Automatic,No Rating,R 689 995
GWM,GWM Tank 300,2.4T Super Luxury 4WD,GWM ,10 840,Automatic,No Rating,R 619 800
GWM,GWM Steed 5,2.0VGT S,GWM ,79 673,Manual,Fair Price,R 238 800
GWM,GWM Steed 5,2.0VGT S,GWM ,103 520,Manual,Fair Price,R 238 800
GWM,GWM P-Series,2.0TD Double Cab LS 4x4,GWM ,38 245,Automatic,High Price,R 469 900
GWM,GWM P-Series,2.0TD SX 4x4,GWM ,92 000,Manual,No Rating,R 399 900
GWM,,,,,,No Rating,
GWM,,,,,,No Rating,
GWM,,,,,,No Rating,
GWM,GWM P300,2.0T Double Cab SX Auto,GWM ,958,Automatic,No Rating,R 469 900
GWM,GWM P-Series,2.0TD Double Cab DLX 4x4 Auto,GWM ,112 000,Automatic,Fair Price,R 339 900
