Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Haval,,,,,,No Rating,
Haval,,,,,,No Rating,
Haval,,,,,,No Rating,
Haval,Haval Jolion,1.5T City Plus,Hava,26 000,Automatic,Great Price,R 299 900
Haval,Haval H2,1.5T Luxury,Hava,78 000,Manual,Great Price,R 199 900
Haval,Haval H6,2.0T 4WD Super Luxury,Hava,108 000,Automatic,Great Price,R 299 900
Haval,Haval Jolion,1.5T Premium,Hava,79 500,Automatic,Great Price,R 239 500
Haval,Haval Jolion,1.5T City,Hava,67 257,Manual,Great Price,R 229 000
Haval,Haval H2,1.5T Luxury,Hava,135 710,Manual,Great Price,R 164 800
Haval,Haval Jolion,1.5T Luxury auto,Hava,52 000,Automatic,Great Price,R 294 900
Haval,Haval H6 GT,2.0GDIT 4WD Super Luxury,Hava,7 826,Automatic,Great Price,R 539 950
Haval,Haval H6 GT,1.5T PHEV 4WD Ultra Luxury,Hava,3 158,Automatic,Great Price,R 699 950
Haval,Haval H6 GT,2.0T 4WD Super Luxury,Hava,61 000,Automatic,Great Price,R 419 900
Haval,,,,,,No Rating,
Haval,,,,,,No Rating,
Haval,,,,,,No Rating,
Haval,Haval Jolion Pro,1.5T Ultra Luxury,Hava,4 236,Automatic,Great Price,R 398 500
Haval,Haval Jolion,1.5T Luxury,Hava,23 000,Manual,Great Price,R 279 900
Haval,Haval H2,1.5T Luxury auto,Hava,156 600,Automatic,Great Price,R 189 950
Haval,Haval Jolion,1.5T Super Luxury,Hava,106 000,Automatic,Great Price,R 265 900
Haval,Haval Jolion,1.5T Super Luxury,Hava,82 000,Automatic,Great Price,R 299 899
Haval,Haval Jolion Pro,1.5T Super Luxury,Hava,1 000,Automatic,Great Price,R 369 900
Haval,Haval H2,1.5T Luxury auto,Hava,87 867,Automatic,Great Price,R 169 900
Haval,ined,,ined,,,,
Haval,Haval Jolion,1.5T Luxury auto,Hava,39 272,Automatic,Fair Price,R 319 900
Haval,Haval H1,1.5,Hava,59 000,Manual,Fair Price,R 169 900
Haval,Haval H6,2.0T Ultra Luxury 4WD,Hava,500,Automatic,No Rating,R 534 900
Haval,Haval Jolion,1.5T Super Luxury,Hava,58 570,Automatic,Great Price,R 305 990
Haval,Haval Jolion Pro,1.5T Ultra Luxury,Hava,18 000,Automatic,No Rating,R 389 900
