Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Honda,,,,,,No Rating,
Honda,,,,,,No Rating,
Honda,,,,,,Fair Price,
Honda,Honda Amaze,1.2 Comfort Auto,Hond,45 452,Automatic,Great Price,R 209 990
Honda,Honda HR-V,1.5 Executive,Hond,34 552,Automatic,Great Price,R 359 800
Honda,Honda Fit,1.5 Elegance,Hond,9 352,Automatic,Fair Price,R 299 900
Honda,Honda CR-V,2.0 Elegance,Hond,121 000,Automatic,Great Price,R 289 900
Honda,Honda BR-V,1.5 Elegance,Hond,167 064,Manual,Fair Price,R 189 900
Honda,Honda Elevate,1.5 Elegance,Hond,8 500,Automatic,No Rating,R 369 900
Honda,Honda Amaze,1.2 Comfort,Hond,20 203,Manual,Great Price,R 199 900
Honda,Honda Amaze,1.2 Trend,Hond,6 950,Manual,No Rating,R 239 900
Honda,Honda Amaze,1.2 Comfort Auto,Hond,12 950,Automatic,No Rating,R 264 900
Honda,Honda Elevate,1.5 Comfort,Hond,Man,Petrol,No Rating,R 319 700
Honda,,,,,,High Price,
Honda,,,,,,Fair Price,
Honda,,,,,,No Rating,
Honda,Honda Amaze,1.2 Trend,Hond,28 000,Manual,Fair Price,R 189 900
Honda,Honda Jazz,1.5 Executive Auto,Hond,62 000,Automatic,No Rating,R 199 899
Honda,Honda Amaze,1.2 Comfort Auto,Hond,15 000,Automatic,Fair Price,R 249 500
Honda,Honda Amaze,1.2 Comfort Auto,Hond,77 473,Automatic,Great Price,R 139 990
Honda,Honda BR-V,1.5 Elegance,Hond,70 000,Manual,Fair Price,R 239 900
Honda,ined,,ined,,,,
Honda,Honda Amaze,1.2 Comfort Auto,Hond,51 048,Automatic,Great Price,R 209 990
Honda,Honda Jazz,1.5 Elegance Auto,Hond,50 000,Automatic,Fair Price,R 219 900
Honda,Honda Jazz,1.4 LX,Hond,167 000,Manual,Fair Price,R 99 950
Honda,Honda Civic,Sedan 1.8 LXi,Hond,443 000,Manual,No Rating,R 39 900
Honda,Honda Ballade,1.5 Executive Auto,Hond,56 071,Automatic,No Rating,R 159 990
Honda,Honda Ballade,1.5 Elegance,Hond,170 000,Manual,No Rating,R 144 500
Honda,Honda Fit,1.5 Elegance,Hond,35 800,Automatic,Fair Price,R 279 000
Honda,Honda BR-V,1.5 Elegance Auto,Hond,71 566,Automatic,High Price,R 299 900
Honda,Honda Elevate,1.5 Elegance,Hond,4 000,Automatic,No Rating,R 359 900
Honda,Honda BR-V,1.5 Trend,Hond,71 000,Manual,No Rating,R 189 900
Honda,,,,,,No Rating,
Honda,,,,,,High Price,
Honda,,,,,,Great Price,
Honda,Honda Amaze,1.2 Comfort Auto,Hond,42 000,Automatic,Fair Price,R 219 950
Honda,Honda Amaze,1.2 Trend,Hond,9 950,Manual,No Rating,R 239 900
Honda,Honda Fit,1.5 Comfort,Hond,450,Automatic,No Rating,R 318 900
Honda,Honda Fit,1.5 Comfort,Hond,450,Automatic,No Rating,R 318 900
Honda,Honda Amaze,1.2 Comfort Auto,Hond,5 950,Automatic,No Rating,R 264 900
Honda,Honda Amaze,1.2 Trend,Hond,9 950,Manual,No Rating,R 239 900
Honda,Honda BR-V,1.5 Comfort,Hond,172 000,Manual,Fair Price,R 179 995
Honda,Honda Amaze,1.2 Comfort Auto,Hond,20,Automatic,No Rating,R 295 900
Honda,Honda Fit,1.5 Comfort,Hond,50,Automatic,No Rating,R 329 900
Honda,Honda HR-V,1.5 Comfort,Hond,34 550,Automatic,Fair Price,R 349 900
Honda,,,,,,Great Price,
Honda,,,,,,No Rating,
Honda,,,,,,No Rating,
Honda,Honda HR-V,1.8 Elegance,Hond,101 850,Automatic,Great Price,R 224 500
Honda,Honda HR-V,1.5 Executive,Hond,20 000,Automatic,Great Price,R 409 900
Honda,Honda BR-V,1.5 Elegance Auto,Hond,93 000,Automatic,High Price,R 254 900
Honda,Honda HR-V,1.8 Elegance,Hond,108 400,Automatic,Fair Price,R 229 995
Honda,Honda Civic,Type R,Hond,23 896,Manual,Fair Price,R 769 950
Honda,Honda Fit,1.5 Elegance,Hond,37 000,Automatic,Fair Price,R 299 000
Honda,Honda WR-V,1.2 Elegance,Hond,42 000,Manual,Great Price,R 222 900
Honda,Honda Jazz,1.5 Elegance Auto,Hond,219 995,Automatic,No Rating,R 219 995
Honda,ined,,ined,,,,
Honda,Honda Amaze,1.2 Comfort Auto,Hond,150,Automatic,No Rating,R 274 800
Honda,Honda HR-V,1.5 Elegance,Hond,30,Automatic,No Rating,R 489 900
Honda,Honda HR-V,1.5 Elegance,Hond,150,Automatic,No Rating,R 489 900
Honda,Honda WR-V,1.2 Elegance,Hond,60 000,Manual,Fair Price,R 199 900
Honda,Honda Amaze,1.2 Comfort Auto,Hond,42 000,Automatic,Fair Price,R 229 900
Honda,Honda WR-V,1.2 Elegance,Hond,118 000,Manual,Fair Price,R 229 900
Honda,Honda HR-V,1.5 Comfort,Hond,149 259,Automatic,Great Price,R 169 990
Honda,,,,,,Great Price,
Honda,,,,,,Fair Price,
Honda,,,,,,High Price,
Honda,Honda Jazz,1.5 Dynamic Auto,Hond,55 500,Automatic,No Rating,R 209 900
Honda,Honda HR-V,1.5 Comfort,Hond,149 259,Automatic,Great Price,R 169 990
Honda,Honda Elevate,1.5 Comfort,Hond,19 900,Manual,Great Price,R 279 900
Honda,Honda Jazz,1.2 Comfort Auto,Hond,49 000,Automatic,Fair Price,R 189 995
Honda,Honda WR-V,1.2 Elegance,Hond,118 000,Manual,Fair Price,R 229 900
Honda,Honda Amaze,1.2 Trend,Hond,28 000,Manual,Fair Price,R 229 500
Honda,Honda Civic,Type R,Hond,35 000,Manual,Fair Price,R 739 899
Honda,Honda Amaze,1.2 Comfort Auto,Hond,44 180,Automatic,Great Price,R 209 990
Honda,Honda CR-V,2.0 Comfort,Hond,119 000,Automatic,Fair Price,R 289 990
Honda,Honda CR-V,2.0 Comfort,Hond,112 700,Automatic,Fair Price,R 279 900
Honda,,,,,,Fair Price,
Honda,,,,,,Fair Price,
Honda,,,,,,Great Price,
Honda,Honda WR-V,1.2 Comfort,Hond,27 000,Manual,Fair Price,R 209 900
Honda,Honda Amaze,1.2 Comfort Auto,Hond,2 000,Automatic,No Rating,R 279 900
Honda,Honda CR-V,1.5T Exclusive AWD,Hond,142 865,Automatic,No Rating,R 299 900
Honda,Honda Fit,1.5 Hybrid E.hev,Hond,30 000,Automatic,Fair Price,R 394 995
Honda,Honda Ballade,1.5 Trend,Hond,133 000,Manual,No Rating,R 144 500
Honda,Honda Elevate,1.5 Elegance,Hond,2 600,Automatic,Low Price,R 334 900
Honda,Honda HR-V,1.5 Comfort,Hond,154 000,Automatic,Fair Price,R 181 500
Honda,Honda WR-V,1.2 Elegance,Hond,216,Manual,Great Price,R 259 900
Honda,Honda WR-V,1.2 Elegance,Hond,153,Manual,Great Price,R 259 900
Honda,ined,,ined,,,,
Honda,Honda CR-V,2.0 Comfort,Hond,185 000,Automatic,Great Price,R 219 995
Honda,Honda Elevate,1.5 Elegance,Hond,850,Automatic,Great Price,R 359 900
Honda,Honda Fit,1.5 Hybrid E.hev,Hond,27 500,Automatic,Fair Price,R 399 995
Honda,Honda WR-V,1.2 Elegance,Hond,234,Manual,Great Price,R 259 900
Honda,Honda CR-V,2.0 Elegance,Hond,165 000,Manual,No Rating,R 199 950
Honda,Honda Elevate,1.5 Elegance,Hond,15 000,Automatic,High Price,R 369 900
Honda,,,,,,Fair Price,
Honda,,,,,,No Rating,
Honda,,,,,,No Rating,
Honda,Honda Fit,1.5 Comfort,Hond,50,Automatic,No Rating,R 329 900
Honda,Honda Civic,Sedan 1.5T RS,Hond,11 000,Automatic,Fair Price,R 524 900
Honda,Honda CR-V,1.5T Exclusive AWD,Hond,142 865,Automatic,No Rating,R 299 900
Honda,Honda WR-V,1.2 Elegance,Hond,234,Manual,Great Price,R 259 900
Honda,Honda WR-V,1.2 Elegance,Hond,216,Manual,Great Price,R 259 900
Honda,Honda WR-V,1.2 Elegance,Hond,153,Manual,Great Price,R 259 900
Honda,Honda Fit,1.5 Elegance,Hond,27 269,Automatic,Fair Price,R 269 000
Honda,ined,,ined,,,,
Honda,Honda WR-V,1.2 Elegance,Hond,68 300,Manual,Fair Price,R 219 900
Honda,Honda CR-V,2.0 Comfort,Hond,128 678,Automatic,Great Price,R 239 995
Honda,Honda HR-V,1.8 Elegance,Hond,136 000,Automatic,Great Price,R 199 950
Honda,,,,,,Fair Price,
Honda,,,,,,No Rating,
Honda,,,,,,Great Price,
