Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Hyundai,,,,,,Fair Price,
Hyundai,,,,,,No Rating,
Hyundai,,,,,,High Price,
Hyundai,Hyundai Creta,1.5 Executive,Hyun,71 578,Automatic,Great Price,R 249 900
Hyundai,Hyundai Creta,1.6CRDi Executive Auto,Hyun,109 000,Automatic,Great Price,R 199 900
Hyundai,Hyundai Atos,1.1 Motion,Hyun,32 000,Manual,Great Price,R 169 995
Hyundai,ined,,ined,,,,
Hyundai,Hyundai Santa Fe,2.2D 4WD Elite,Hyun,147 692,Automatic,Great Price,R 389 900
Hyundai,Hyundai Grand Creta,2.0 Executive (Manual),Hyun,30 000,Manual,Great Price,R 339 900
Hyundai,Hyundai i20,1.2 Motion,Hyun,32 712,Manual,Great Price,R 229 900
Hyundai,Hyundai Elantra,1.6 Executive Auto,Hyun,236 000,Automatic,Great Price,R 129 900
Hyundai,Hyundai i20,1.2 Premium,Hyun,6 000,Manual,Great Price,R 259 999
Hyundai,Hyundai i20,1.2 Premium,Hyun,22 000,Manual,Great Price,R 259 990
Hyundai,Hyundai i10,1.25 Fluid Auto,Hyun,113 000,Automatic,Great Price,R 89 900
Hyundai,,,,,,Great Price,
Hyundai,,,,,,No Rating,
Hyundai,,,,,,No Rating,
Hyundai,Hyundai i20,1.2 Motion,Hyun,46 594,Manual,Great Price,R 234 800
Hyundai,Hyundai Grand Creta,2.0 Executive (Auto),Hyun,32 546,Automatic,Great Price,R 349 900
Hyundai,Hyundai H-100,Bakkie 2.6D,Hyun,198 765,Manual,Great Price,R 209 900
Hyundai,Hyundai Creta,1.5 Premium Manual,Hyun,18 562,Manual,Great Price,R 309 990
Hyundai,Hyundai Grand i10,1.2 Premium Hatch,Hyun,8 656,Automatic,Great Price,R 229 900
Hyundai,Hyundai i20,1.4 Premium,Hyun,17 841,Automatic,Great Price,R 277 500
Hyundai,Hyundai Venue,1.0T TGDI Motion,Hyun,73 024,Manual,Great Price,R 189 900
Hyundai,Hyundai Grand i10,1.0 Motion Hatch,Hyun,84,Manual,No Rating,R 249 900
Hyundai,Hyundai Venue,1.0T Motion Auto,Hyun,31 600,Automatic,Great Price,R 259 990
Hyundai,Hyundai Tucson,2.0 Premium Auto,Hyun,94 500,Automatic,Great Price,R 269 900
