Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Isuzu,,,,,,No Rating,
Isuzu,,,,,,No Rating,
Isuzu,,,,,,Fair Price,
Isuzu,Isuzu D-Max,1.9 DDI HR X-RIDER AT,Isuz,15 000,Automatic,Great Price,R 559 900
Isuzu,Isuzu D-Max,250 Double Cab 4x4 Hi-Ride,Isuz,149 761,Manual,Great Price,R 319 900
Isuzu,Isuzu D-Max,3.0TD Extended Cab LSE 4x4,Isuz,20 316,Automatic,Great Price,R 649 900
Isuzu,Isuzu D-Max,250 4x4 Hi-Ride,Isuz,149 075,Manual,Great Price,R 289 995
Isuzu,Isuzu D-Max,250C Fleetside,Isuz,126 000,Manual,Great Price,R 239 990
Isuzu,Isuzu D-Max,1.9TD Double Cab LS Auto,Isuz,53 000,Automatic,Great Price,R 459 900
Isuzu,Isuzu D-Max,1.9TD Single Cab,Isuz,138 000,Manual,Great Price,R 289 990
Isuzu,Isuzu mu-X,3.0,Isuz,103 756,Automatic,Fair Price,R 418 500
Isuzu,Isuzu mu-X,1.9TD LS,Isuz,250,Automatic,No Rating,R 719 900
Isuzu,Isuzu D-Max,1.9TD Double Cab LS Manual,Isuz,110,Manual,No Rating,R 529 900
Isuzu,,,,,,No Rating,
Isuzu,,,,,,No Rating,
Isuzu,,,,,,No Rating,
Isuzu,Isuzu D-Max,3.0TD Double Cab LSE 4x4,Isuz,162 500,Automatic,Great Price,R 559 950
Isuzu,Isuzu D-Max,1.9TD Double Cab LS X-Rider Black Auto,Isuz,110,Automatic,No Rating,R 609 900
Isuzu,Isuzu D-Max,1.9TD Single Cab L Manual,Isuz,105 800,Manual,Fair Price,R 329 900
Isuzu,Isuzu D-Max,3.0TD Double Cab V-Cross,Isuz,57 000,Automatic,Fair Price,R 689 950
Isuzu,ined,,ined,,,,
Isuzu,Isuzu D-Max,3.0TD Double Cab LS 4x4 Manual,Isuz,35,Manual,No Rating,R 779 500
Isuzu,Isuzu D-Max,250 Double Cab Hi-Ride,Isuz,117 498,Manual,Great Price,R 319 900
Isuzu,Isuzu D-Max,250 Double Cab Hi-Ride,Isuz,132 396,Manual,Great Price,R 304 900
Isuzu,Isuzu D-Max,3.0TD Double Cab V-Cross 4x4,Isuz,96 005,Automatic,Great Price,R 649 700
Isuzu,Isuzu mu-X,3.0,Isuz,169 975,Automatic,Fair Price,R 359 900
Isuzu,Isuzu D-Max,1.9TD Single Cab L 4x4 Manual,Isuz,95 000,Manual,Fair Price,R 369 990
Isuzu,Isuzu D-Max,3.0TD Double Cab LS 4x4 Manual,Isuz,250,Manual,No Rating,R 669 900
Isuzu,Isuzu D-Max,3.0TD Double Cab LSE,Isuz,250,Automatic,No Rating,R 799 900
Isuzu,Isuzu D-Max,3.0TD Double Cab V-Cross 4x4,Isuz,115,Automatic,No Rating,R 870 000
Isuzu,Isuzu D-Max,3.0TD Extended Cab LSE,Isuz,115,Automatic,No Rating,R 609 950
Isuzu,Isuzu D-Max,3.0TD Double Cab AT35 4x4,Isuz,250,Automatic,No Rating,R 1 149 900
Isuzu,,,,,,No Rating,
Isuzu,,,,,,No Rating,
Isuzu,,,,,,No Rating,
Isuzu,Isuzu D-Max,250 Double Cab 4x4 Hi-Ride,Isuz,148 805,Manual,Great Price,R 329 900
Isuzu,Isuzu D-Max,1.9TD Extended Cab L,Isuz,58 400,Manual,Great Price,R 369 900
Isuzu,Isuzu D-Max,1.9TD Double Cab LS 4x4,Isuz,60 987,Automatic,Great Price,R 499 995
Isuzu,Isuzu D-Max,250 Double Cab X-Rider,Isuz,178 000,Manual,Great Price,R 329 995
Isuzu,Isuzu mu-X,1.9TD LS,Isuz,39 000,Automatic,Fair Price,R 559 900
Isuzu,ined,,ined,,,,
Isuzu,Isuzu D-Max,250 Extended Cab Hi-Ride,Isuz,128 497,Manual,Fair Price,R 349 999
Isuzu,Isuzu D-Max,250 Fleetside Safety,Isuz,146 496,Manual,Fair Price,R 279 900
Isuzu,Isuzu D-Max,1.9TD Double Cab L 4x4 Manual,Isuz,132 045,Manual,Fair Price,R 419 900
Isuzu,Isuzu D-Max,3.0TD Extended Cab LSE,Isuz,55 000,Automatic,Fair Price,R 549 899
Isuzu,Isuzu D-Max,250 Double Cab Hi-Ride,Isuz,121 000,Manual,Fair Price,R 349 950
Isuzu,,,,,,No Rating,
Isuzu,,,,,,No Rating,
Isuzu,,,,,,No Rating,
Isuzu,Isuzu D-Max,300 3.0TD Extended Cab LX Auto,Isuz,215 090,Automatic,No Rating,R 339 900
Isuzu,Isuzu D-Max,250 Fleetside Safety,Isuz,71 915,Manual,Great Price,R 279 950
Isuzu,Isuzu D-Max,1.9 DDI HR X-RIDER AT,Isuz,24 817,Automatic,Fair Price,R 599 000
Isuzu,Isuzu D-Max,1.9TD Double Cab LS X-Rider Auto,Isuz,9 000,Automatic,Great Price,R 581 900
Isuzu,Isuzu D-Max,3.0TD Double Cab V-Cross,Isuz,57 000,Automatic,Fair Price,R 689 950
Isuzu,Isuzu D-Max,1.9TD Single Cab L (Auto),Isuz,33 000,Automatic,Fair Price,R 389 900
Isuzu,Isuzu D-Max,1.9TD Extended Cab L,Isuz,115,Manual,No Rating,R 459 950
Isuzu,Isuzu D-Max,1.9 DDI HR X-RIDER AT,Isuz,115,Automatic,No Rating,R 619 950
Isuzu,Isuzu D-Max,1.9TD Double Cab LS X-Rider Auto,Isuz,115,Automatic,No Rating,R 619 950
Isuzu,Isuzu D-Max Gen 6,250C Single Cab,Isuz,7 266,Manual,Fair Price,R 343 900
Isuzu,Isuzu D-Max,1.9 DDI HR X-RIDER AT,Isuz,36 422,Automatic,Great Price,R 549 900
Isuzu,Isuzu D-Max,1.9TD Double Cab L 4x4 Manual,Isuz,81 000,Manual,Fair Price,R 499 900
Isuzu,Isuzu D-Max,250 Fleetside,Isuz,144 000,Manual,Fair Price,R 279 900
Isuzu,Isuzu mu-X,3.0TD LS 4WD,Isuz,18 135,Automatic,No Rating,R 919 900
Isuzu,Isuzu D-Max,1.9TD Double Cab L Auto,Isuz,13 300,Automatic,Fair Price,R 529 900
Isuzu,,,,,,Fair Price,
Isuzu,,,,,,Fair Price,
Isuzu,,,,,,High Price,
Isuzu,Isuzu D-Max,1.9TD Double Cab LS Auto,Isuz,1 500,Automatic,No Rating,R 564 900
Isuzu,Isuzu D-Max,250 Fleetside Safety,Isuz,94 900,Manual,Fair Price,R 299 999
Isuzu,Isuzu D-Max,250C Fleetside S/C P/U,Isuz,Man,Diesel,No Rating,R 362 900
Isuzu,Isuzu D-Max,1.9TD Single Cab L Manual,Isuz,Man,Diesel,No Rating,R 449 800
Isuzu,Isuzu D-Max,1.9TD Single Cab L Manual,Isuz,Man,Diesel,No Rating,R 439 800
Isuzu,Isuzu D-Max,1.9TD Single Cab L Manual,Isuz,Man,Diesel,No Rating,R 476 500
Isuzu,Isuzu D-Max,1.9TD Single Cab,Isuz,Man,Diesel,No Rating,R 429 800
Isuzu,Isuzu D-Max Gen 6,250 Double Cab Hi-Ride (Manual),Isuz,227 052,Manual,Great Price,R 289 800
Isuzu,Isuzu mu-X,3.0,Isuz,99 950,Automatic,Fair Price,R 419 900
Isuzu,Isuzu D-Max,250 Fleetside Safety,Isuz,172 650,Manual,High Price,R 299 950
Isuzu,,,,,,Fair Price,
Isuzu,,,,,,No Rating,
Isuzu,,,,,,No Rating,
Isuzu,ined,,ined,,,,
Isuzu,Isuzu D-Max,250 4x4 Hi-Ride,Isuz,149 100,Manual,Fair Price,R 324 995
Isuzu,Isuzu D-Max,1.9TD Double Cab L Auto,Isuz,Automa,Diesel,No Rating,R 549 900
Isuzu,Isuzu D-Max,250C Fleetside S/C P/U,Isuz,115,Manual,No Rating,R 369 950
Isuzu,Isuzu D-Max,250C Fleetside S/C P/U,Isuz,115,Manual,No Rating,R 369 950
Isuzu,Isuzu D-Max,1.9TD Single Cab,Isuz,109 000,Manual,Great Price,R 299 990
Isuzu,Isuzu D-Max,1.9TD Double Cab LS Auto,Isuz,56 209,Automatic,Great Price,R 469 900
Isuzu,Isuzu D-Max,1.9TD Double Cab L (Auto),Isuz,79 445,Automatic,Great Price,R 419 900
Isuzu,Isuzu D-Max,1.9TD Double Cab LS Auto,Isuz,6 000,Automatic,No Rating,R 629 900
Isuzu,Isuzu D-Max,1.9TD Double Cab L 4x4 Manual,Isuz,61 693,Manual,Fair Price,R 499 900
Isuzu,Isuzu KB,250D-Teq Double Cab X-Rider,Isuz,162 000,Manual,Great Price,R 294 900
Isuzu,Isuzu D-Max,1.9TD Double Cab L (Auto),Isuz,64 600,Automatic,Great Price,R 409 900
Isuzu,Isuzu D-Max,1.9TD Single Cab LS Auto,Isuz,11 303,Automatic,Fair Price,R 469 990
Isuzu,Isuzu D-Max,250 Double Cab Hi-Ride,Isuz,46 760,Manual,Great Price,R 339 900
Isuzu,Isuzu mu-X,1.9TD LS,Isuz,22 000,Automatic,No Rating,R 639 900
Isuzu,Isuzu mu-X,3.0TD LS,Isuz,92 000,Automatic,No Rating,R 539 900
Isuzu,,,,,,Great Price,
Isuzu,,,,,,High Price,
Isuzu,,,,,,Fair Price,
Isuzu,Isuzu D-Max,1.9TD Single Cab L 4x4 (Manual),Isuz,111 617,Manual,Great Price,R 349 900
Isuzu,Isuzu D-Max,300 3.0TD Double Cab Hi-Ride Auto,Isuz,125 000,Automatic,Fair Price,R 379 900
Isuzu,Isuzu D-Max,3.0TD Double Cab LSE,Isuz,9 500,Automatic,No Rating,R 739 900
Isuzu,Isuzu mu-X,1.9TD LS,Isuz,Automa,Diesel,No Rating,R 709 700
Isuzu,Isuzu D-Max Gen 6,250 Single Cab Fleetside Safety,Isuz,Man,Diesel,No Rating,R 403 700
Isuzu,Isuzu D-Max,1.9TD Single Cab,Isuz,Man,Diesel,No Rating,R 439 700
Isuzu,Isuzu D-Max,3.0TD Double Cab V-Cross 4x4,Isuz,Automa,Diesel,No Rating,R 870 000
Isuzu,Isuzu D-Max,1.9TD Extended Cab L,Isuz,17 000,Manual,Great Price,R 419 900
Isuzu,Isuzu D-Max,3.0TD Double Cab V-Cross 4x4,Isuz,57 500,Automatic,Fair Price,R 718 800
Isuzu,Isuzu D-Max,3.0TD Double Cab V-Cross,Isuz,29 950,Automatic,Fair Price,R 707 354
