Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Jaguar,,,,,,No Rating,
Jaguar,,,,,,Fair Price,
Jaguar,,,,,,No Rating,
Jaguar,Jaguar F-Pace,D200 AWD R-Dynamic SE,Jagu,12 000,Automatic,Great Price,R 999 950
Jaguar,Jaguar F-Pace,D300 AWD R-Dynamic HSE,Jagu,32 000,Automatic,No Rating,R 1 149 950
Jaguar,Jaguar XF,XFR,Jagu,43 000,Automatic,No Rating,R 599 990
Jaguar,Jaguar F-Type,Convertible,Jagu,78 000,Automatic,Great Price,R 449 900
Jaguar,Jaguar E-Pace,P250 AWD R-Dynamic SE,Jagu,96 819,Automatic,No Rating,R 488 800
Jaguar,Jaguar F-Pace,20d AWD Pure,Jagu,35 000,Automatic,No Rating,R 899 990
Jaguar,Jaguar F-Pace,30d AWD R-Sport,Jagu,117 000,Automatic,No Rating,R 399 950
Jaguar,Jaguar F-Pace,30d AWD R-Sport,Jagu,88 000,Automatic,No Rating,R 449 995
Jaguar,Jaguar F-Pace,SVR,Jagu,51 000,Automatic,Great Price,R 949 990
Jaguar,Jaguar XF,2.2D Premium Luxury,Jagu,167 000,Automatic,Low Price,R 129 990
Jaguar,,,,,,No Rating,
Jaguar,,,,,,Fair Price,
Jaguar,,,,,,Fair Price,
Jaguar,Jaguar I-Pace,EV400 AWD HSE,Jagu,110 000,Automatic,No Rating,R 849 900
Jaguar,ined,,ined,,,,
Jaguar,Jaguar XE,20d Prestige,Jagu,118 000,Automatic,No Rating,R 249 900
Jaguar,Jaguar E-Pace,D180 AWD SE,Jagu,52 000,Automatic,No Rating,R 379 900
Jaguar,Jaguar F-Type,R P575 AWD Coupe,Jagu,73 000,Automatic,No Rating,R 1 299 900
Jaguar,Jaguar XK,XKR,Jagu,72 013,Automatic,No Rating,R 399 950
Jaguar,Jaguar E-Pace,D200 AWD R-Dynamic S,Jagu,51 984,Automatic,No Rating,R 499 950
Jaguar,Jaguar XE,S,Jagu,89 500,Automatic,No Rating,R 329 900
Jaguar,Jaguar F-Pace,D200 AWD R-Dynamic SE,Jagu,14 000,Automatic,Great Price,R 999 950
Jaguar,Jaguar XK,XKR Convertible,Jagu,122 500,Automatic,No Rating,R 599 000
Jaguar,Jaguar XF,XFR-S,Jagu,115 663,Automatic,No Rating,R 499 000
Jaguar,Jaguar E-Pace,D240 AWD R-Dynamic SE,Jagu,102 000,Automatic,No Rating,R 339 900
Jaguar,Jaguar XF,3.0D S Premium Luxury,Jagu,135 000,Automatic,No Rating,R 249 990
Jaguar,Jaguar XF,20d R-Sport,Jagu,100 723,Automatic,No Rating,R 319 900
Jaguar,Jaguar X-Type,3.0 Sport,Jagu,247 041,Automatic,No Rating,R 59 995
Jaguar,Jaguar F-Pace,SVR,Jagu,58 000,Automatic,Fair Price,R 999 900
Jaguar,,,,,,No Rating,
Jaguar,,,,,,No Rating,
Jaguar,,,,,,Fair Price,
Jaguar,Jaguar F-Type,S Convertible British Design Edition,Jagu,10 700,Automatic,No Rating,R 799 000
Jaguar,Jaguar E-Pace,D180 AWD SE,Jagu,123 136,Automatic,No Rating,R 349 900
Jaguar,Jaguar E-Pace,D240 AWD HSE,Jagu,65 000,Automatic,No Rating,R 399 900
Jaguar,Jaguar F-Type,SVR Coupe AWD,Jagu,36 098,Automatic,No Rating,R 1 700 000
Jaguar,Jaguar F-Pace,SVR,Jagu,13 000,Automatic,No Rating,R 1 549 950
Jaguar,Jaguar F-Type,S Coupe,Jagu,50 000,Automatic,Fair Price,R 599 900
Jaguar,Jaguar E-Pace,D180 AWD R-Dynamic SE,Jagu,98 500,Automatic,Great Price,R 384 500
Jaguar,Jaguar F-Pace,D200 AWD R-Dynamic HSE,Jagu,39 000,Automatic,No Rating,R 899 900
Jaguar,Jaguar F-Pace,20d AWD R-Sport,Jagu,135 000,Automatic,Great Price,R 309 000
Jaguar,Jaguar F-Pace,20d AWD R-Sport,Jagu,63 000,Automatic,Low Price,R 399 900
Jaguar,,,,,,No Rating,
Jaguar,,,,,,No Rating,
Jaguar,,,,,,No Rating,
Jaguar,Jaguar F-Type,SVR Coupe AWD,Jagu,71 000,Automatic,No Rating,R 1 295 000
Jaguar,Jaguar F-Type,S Coupe British Design Edition,Jagu,25 000,Automatic,No Rating,R 749 500
Jaguar,Jaguar F-Type,P380 R-Dynamic Coupe,Jagu,19 000,Automatic,No Rating,R 1 049 950
Jaguar,ined,,ined,,,,
Jaguar,Jaguar E-Pace,D150 AWD,Jagu,65 900,Automatic,No Rating,R 399 900
Jaguar,Jaguar F-Type,S Coupe,Jagu,65 000,Automatic,Fair Price,R 599 990
Jaguar,Jaguar F-Pace,30d AWD R-Sport,Jagu,66 000,Automatic,No Rating,R 460 000
Jaguar,Jaguar F-Pace,20d AWD R-Sport,Jagu,133 000,Automatic,Great Price,R 329 900
Jaguar,Jaguar F-Type,Coupe 250kW Auto,Jagu,70 000,Automatic,No Rating,R 649 899
Jaguar,Jaguar F-Pace,20d AWD R-Sport,Jagu,119 000,Automatic,Fair Price,R 349 900
Jaguar,Jaguar F-Pace,20d AWD R-Sport,Jagu,121 000,Automatic,Fair Price,R 349 900
Jaguar,Jaguar F-Pace,30d AWD R-Sport,Jagu,60 000,Automatic,No Rating,R 695 000
Jaguar,Jaguar E-Pace,D200 AWD R-Dynamic HSE,Jagu,16 580,Automatic,No Rating,R 814 990
Jaguar,Jaguar F-Pace,20d AWD R-Sport,Jagu,93 000,Automatic,No Rating,R 399 900
