Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Jeep,,,,,,Fair Price,
Jeep,,,,,,Fair Price,
Jeep,,,,,,No Rating,
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,Jeep,112 655,Automatic,Great Price,R 399 900
Jeep,Jeep Grand Cherokee,SRT,Jeep,140 000,Automatic,Great Price,R 399 950
Jeep,Jeep Wrangler,Unlimited 3.6 Rubicon,Jeep,42 000,Automatic,Fair Price,R 799 995
Jeep,Jeep Grand Cherokee,3.6L Limited,Jeep,92 000,Automatic,No Rating,R 499 899
Jeep,Jeep Wrangler,Unlimited 3.6 Sport,Jeep,12 900,Automatic,Great Price,R 799 900
Jeep,Jeep Grand Cherokee,SRT,Jeep,76 500,Automatic,No Rating,R 979 900
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,Jeep,194 397,Automatic,Fair Price,R 298 900
Jeep,Jeep Grand Cherokee,L 3.6 4x4 Overland,Jeep,19 000,Automatic,Fair Price,R 1 049 900
Jeep,Jeep Wrangler,3.6L Rubicon,Jeep,24 772,Automatic,No Rating,R 3 499 000
Jeep,Jeep Renegade,1.4L T 4x4 Limited,Jeep,116 500,Automatic,Great Price,R 189 900
Jeep,,,,,,Fair Price,
Jeep,,,,,,Fair Price,
Jeep,,,,,,Fair Price,
Jeep,Jeep Compass,2.0L Limited Auto,Jeep,91 000,Automatic,Fair Price,R 109 900
Jeep,Jeep Grand Cherokee,3.0CRD Overland,Jeep,173 548,Automatic,No Rating,R 179 900
Jeep,Jeep Renegade,1.4L T Limited Auto,Jeep,47 000,Automatic,No Rating,R 288 888
Jeep,Jeep Gladiator,3.6 Rubicon Double Cab,Jeep,73 000,Automatic,Fair Price,R 949 899
Jeep,ined,,ined,,,,
Jeep,Jeep Gladiator,3.6 Rubicon Double Cab,Jeep,31 000,Automatic,Great Price,R 919 900
Jeep,Jeep Wrangler,3.8L Rubicon,Jeep,156 500,Manual,No Rating,R 264 900
Jeep,Jeep Grand Cherokee,3.6L Limited,Jeep,55 193,Automatic,Great Price,R 499 900
Jeep,Jeep Wrangler,Unlimited 3.6 Sport,Jeep,24 500,Automatic,Great Price,R 819 000
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,Jeep,123 500,Automatic,Fair Price,R 349 900
Jeep,Jeep Wrangler,Unlimited 2.8CRD Sahara,Jeep,164 706,Automatic,Fair Price,R 369 700
