Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,10 000,Automatic,Great Price,R 419 995
Jetour,Jetour X70 Plus,1.5T Momentum,Jeto,10 000,Automatic,Great Price,R 379 900
Jetour,Jetour Dashing,1.5T Deluxe,Jeto,17 000,Automatic,Great Price,R 389 900
Jetour,Jetour Dashing,1.5T Momentum,Jeto,4 500,Automatic,Great Price,R 379 500
Jetour,ined,,ined,,,,
Jetour,Jetour T2,1.5T Aspire,Jeto,Automa,Petrol,No Rating,R 629 950
Jetour,Jetour T2,2.0T Odyssey XWD,Jeto,4 000,Automatic,No Rating,R 749 900
Jetour,Jetour T2,2.0T Odyssey XWD,Jeto,8 000,Automatic,No Rating,R 829 900
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,6 690,Automatic,Great Price,R 399 900
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,9 000,Automatic,Fair Price,R 439 499
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,6 520,Automatic,No Rating,R 429 995
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,Jetour Dashing,1.5T Deluxe,Jeto,500,Automatic,Great Price,R 409 800
Jetour,Jetour Dashing,1.5T Momentum,Jeto,200,Automatic,Great Price,R 409 800
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,15 723,Automatic,Fair Price,R 429 900
Jetour,Jetour T2,2.0T Odyssey XWD,Jeto,10 000,Automatic,No Rating,R 669 900
Jetour,Jetour Dashing,1.5T Momentum,Jeto,6 512,Automatic,No Rating,R 399 900
Jetour,Jetour X70 Plus,1.5T Momentum,Jeto,10 000,Automatic,Fair Price,R 399 900
Jetour,Jetour T1,2.0T Odyssey XWD,Jeto,Automa,Petrol,No Rating,R 624 900
Jetour,Jetour T2,2.0T Odyssey XWD,Jeto,Automa,Petrol,No Rating,R 799 900
Jetour,Jetour T2,2.0T Xplora XWD,Jeto,9 100,Automatic,No Rating,R 679 900
Jetour,Jetour X70,Plus Momentum,Jeto,5 000,Automatic,No Rating,R 399 900
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,5 000,Automatic,No Rating,R 409 900
Jetour,Jetour Dashing,1.5T Deluxe,Jeto,5 000,Automatic,No Rating,R 409 900
Jetour,Jetour Dashing,1.5T Deluxe,Jeto,13 000,Automatic,Fair Price,R 419 990
Jetour,Jetour Dashing,1.5T Deluxe,Jeto,6 500,Automatic,No Rating,R 429 900
Jetour,Jetour T2,1.5T Aspire,Jeto,8 000,Automatic,No Rating,R 569 950
Jetour,,,,,,Fair Price,
Jetour,,,,,,No Rating,
Jetour,,,,,,Fair Price,
Jetour,Jetour T2,1.5T Aspire,Jeto,Automa,Petrol,No Rating,R 569 900
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,10 000,Automatic,Great Price,R 415 000
Jetour,Jetour T1,2.0T Odyssey XWD,Jeto,100,Automatic,No Rating,R 649 900
Jetour,Jetour Dashing,1.5T Deluxe,Jeto,49 981,Automatic,,POA
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,10 000,Automatic,Fair Price,R 399 990
Jetour,Jetour Dashing,1.5T Momentum,Jeto,14 000,Automatic,Great Price,R 379 898
Jetour,Jetour T2,2.0T Odyssey XWD,Jeto,238,Automatic,No Rating,R 759 990
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,19 963,Automatic,Fair Price,R 429 995
Jetour,Jetour X70 Plus,1.5T Momentum,Jeto,9 500,Automatic,Great Price,R 394 900
Jetour,Jetour T2,2.0T Xplora XWD,Jeto,300,Automatic,No Rating,R 899 000
Jetour,,,,,,Great Price,
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,Jetour Dashing,1.5T Deluxe,Jeto,50,Automatic,No Rating,R 499 000
Jetour,ined,,ined,,,,
Jetour,Jetour Dashing,1.5T Momentum,Jeto,7 000,Automatic,Fair Price,R 389 900
Jetour,Jetour Dashing,1.5T Deluxe,Jeto,25,Automatic,No Rating,R 469 900
Jetour,Jetour Dashing,1.5 Deluxe,Jeto,150,Automatic,No Rating,R 459 900
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,155,Automatic,No Rating,R 549 950
Jetour,Jetour T2,2.0T Odyssey Dark Knight XWD,Jeto,10,Automatic,No Rating,R 704 990
Jetour,Jetour T2,2.0T Odyssey XWD,Jeto,1 315,Automatic,No Rating,R 769 900
Jetour,Jetour Dashing,1.5T Momentum,Jeto,1 500,Automatic,No Rating,R 409 990
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,14 000,Automatic,Great Price,R 394 900
Jetour,Jetour Dashing,1.5T Deluxe,Jeto,100,Automatic,No Rating,R 489 995
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,7 000,Automatic,Great Price,R 409 900
Jetour,Jetour Dashing,1.5T Deluxe,Jeto,18 500,Automatic,Great Price,R 389 900
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,23 000,Automatic,Low Price,R 369 900
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,24 000,Automatic,Low Price,R 369 900
Jetour,Jetour Dashing,1.5T Momentum,Jeto,1 000,Automatic,No Rating,R 399 900
Jetour,,,,,,Great Price,
Jetour,,,,,,No Rating,
Jetour,,,,,,Great Price,
Jetour,Jetour Dashing,1.5T Momentum,Jeto,1 000,Automatic,No Rating,R 399 900
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,22 000,Automatic,Low Price,R 369 900
Jetour,Jetour Dashing,1.5 Deluxe,Jeto,14 000,Automatic,No Rating,R 459 950
Jetour,Jetour Dashing,1.5T Deluxe,Jeto,126,Automatic,No Rating,R 469 000
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,58 000,Automatic,Fair Price,R 439 950
Jetour,Jetour Dashing,1.5T Deluxe,Jeto,1 000,Automatic,No Rating,R 459 000
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,1 500,Automatic,No Rating,R 469 550
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,5 400,Automatic,Fair Price,R 439 900
Jetour,Jetour Dashing,1.5T Momentum,Jeto,100,Automatic,No Rating,R 439 900
Jetour,Jetour T1,2.0T Odyssey XWD,Jeto,10,Automatic,No Rating,R 634 990
Jetour,ined,,ined,,,,
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,Jetour T1,1.5T Edge,Jeto,10,Automatic,No Rating,R 514 900
Jetour,Jetour T1,2.0T Xplora XWD,Jeto,10,Automatic,No Rating,R 594 990
Jetour,Jetour T2,2.0T Odyssey XWD,Jeto,100,Automatic,No Rating,R 679 990
Jetour,Jetour T2,2.0T Odyssey XWD,Jeto,300,Automatic,No Rating,R 729 900
Jetour,Jetour T2,2.0T Odyssey XWD,Jeto,450,Automatic,No Rating,R 719 800
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,200,Automatic,No Rating,R 448 899
Jetour,Jetour T2,1.5T Aspire,Jeto,150,Automatic,No Rating,R 639 950
Jetour,Jetour T1,2.0T Xplora XWD,Jeto,1 265,Automatic,No Rating,R 584 899
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,20 000,Automatic,Low Price,R 379 900
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,14 000,Automatic,High Price,R 439 995
Jetour,Jetour T1,1.5T Edge,Jeto,1 323,Automatic,No Rating,R 499 889
Jetour,Jetour T2,2.0T Odyssey XWD,Jeto,150,Automatic,No Rating,R 949 990
Jetour,Jetour T2,2.0T Odyssey XWD,Jeto,200,Automatic,No Rating,R 949 990
Jetour,Jetour T2,2.0T Xplora XWD,Jeto,200,Automatic,No Rating,R 899 990
Jetour,Jetour Dashing,1.5T Momentum,Jeto,39 000,Automatic,Great Price,R 349 995
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,100,Automatic,No Rating,R 489 900
Jetour,Jetour T1,2.0T Odyssey XWD,Jeto,1 015,Automatic,No Rating,R 699 900
Jetour,Jetour X70,Plus Deluxe,Jeto,100,Automatic,No Rating,R 519 995
Jetour,Jetour T1,2.0T Odyssey Dark Knight XWD,Jeto,20,Automatic,No Rating,R 659 900
Jetour,Jetour T2,2.0T Odyssey XWD,Jeto,1 500,Automatic,No Rating,R 729 990
Jetour,Jetour T2,2.0T Odyssey XWD,Jeto,200,Automatic,No Rating,R 749 800
Jetour,Jetour Dashing,1.5T Deluxe,Jeto,1 000,Automatic,No Rating,R 459 900
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,7 901,Automatic,Low Price,R 389 900
Jetour,Jetour T2,2.0T Odyssey XWD,Jeto,100,Automatic,No Rating,R 729 900
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,100,Automatic,No Rating,R 489 900
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,Jetour X70,Plus Deluxe,Jeto,30 000,Automatic,No Rating,R 449 900
Jetour,Jetour Dashing,1.5T Momentum,Jeto,7 500,Automatic,Fair Price,R 399 900
Jetour,Jetour X70 Plus,1.5T Momentum,Jeto,8 500,Automatic,Great Price,R 394 800
Jetour,Jetour Dashing,1.5T Deluxe,Jeto,10 000,Automatic,Great Price,R 399 900
Jetour,Jetour Dashing,1.5T Deluxe,Jeto,1 000,Automatic,No Rating,R 434 900
Jetour,Jetour Dashing,1.5T Momentum,Jeto,11 500,Automatic,Great Price,R 369 900
Jetour,Jetour X70 Plus,1.5T Deluxe,Jeto,650,Automatic,Great Price,R 429 900
