Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Kia,,,,,,High Price,
Kia,,,,,,No Rating,
Kia,,,,,,No Rating,
Kia,Kia Seltos,1.6 EX+,Kia ,18 366,Automatic,Great Price,R 339 900
Kia,Kia Sportage,1.6T-GDi EX,Kia ,37 000,Automatic,Great Price,R 459 950
Kia,Kia Sportage,1.6 CRDI LX,Kia ,30 500,Automatic,Great Price,R 509 900
Kia,Kia Picanto,1.0 STREET,Kia ,63 913,Manual,Great Price,R 149 900
Kia,Kia Picanto,1.2 X-Line,Kia ,44 000,Manual,Great Price,R 179 900
Kia,Kia Picanto,1.2 EX+ Auto,Kia ,13 074,Automatic,Fair Price,R 259 900
Kia,Kia Picanto,1.0 STREET,Kia ,34 718,Manual,Great Price,R 169 900
Kia,Kia Sorento,2.2CRDi AWD EX,Kia ,98 000,Automatic,Great Price,R 379 000
Kia,Kia Picanto,1.0 STREET,Kia ,99 500,Manual,Fair Price,R 135 995
Kia,Kia Seltos,1.5CRDi EX,Kia ,40 000,Automatic,Great Price,R 399 900
Kia,,,,,,No Rating,
Kia,,,,,,Great Price,
Kia,,,,,,No Rating,
Kia,Kia Picanto,1.0 Start,Kia ,120 000,Manual,Great Price,R 109 990
Kia,Kia Picanto,1.0 Smart,Kia ,73 661,Manual,Fair Price,R 159 995
Kia,Kia Rio,Sedan 1.2,Kia ,176 000,Manual,Great Price,R 89 900
Kia,Kia Rio,Hatch 1.4 EX,Kia ,79 000,Manual,Fair Price,R 239 900
Kia,Kia Rio,hatch 1.2 LS,Kia ,120 000,Manual,Fair Price,R 149 900
Kia,ined,,ined,,,,
Kia,Kia Sportage,2.0 Ignite Plus Auto,Kia ,82 153,Automatic,Fair Price,R 279 900
Kia,Kia Sonet,1.5 LS Auto,Kia ,11 500,Automatic,Great Price,R 289 800
Kia,Kia Rio,hatch 1.2 LS,Kia ,35 000,Manual,High Price,R 269 900
Kia,Kia Seltos,1.6 EX Auto,Kia ,74 552,Automatic,Great Price,R 249 800
Kia,Kia Rio,Hatch 1.2,Kia ,167 000,Manual,Great Price,R 109 900
Kia,Kia Rio,Hatch 1.4 Auto,Kia ,113 912,Automatic,No Rating,R 159 950
Kia,Kia Picanto,1.0 LX,Kia ,148 000,Manual,Fair Price,R 119 950
Kia,Kia Picanto,1.2 EX+ Auto,Kia ,15 800,Automatic,Fair Price,R 259 900
Kia,Kia Picanto,1.0 Start,Kia ,65 000,Manual,Great Price,R 159 995
Kia,Kia Picanto,1.0 STREET,Kia ,156 000,Manual,Great Price,R 109 950
Kia,,,,,,Fair Price,
Kia,,,,,,Low Price,
Kia,,,,,,Fair Price,
Kia,Kia Pegas,1.4 EX Auto,Kia ,31 592,Automatic,Fair Price,R 249 995
Kia,Kia Seltos,1.6 EX Auto,Kia ,47 000,Automatic,Fair Price,R 289 899
