Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Lamborghini,,,,,,No Rating,
Lamborghini,,,,,,No Rating,
Lamborghini,Lamborghini Huracan,LP610-4 Coupe,Lamb,22 000,Automatic,No Rating,R 5 799 900
Lamborghini,Lamborghini Urus,Urus,Lamb,10 200,Automatic,No Rating,R 6 998 000
Lamborghini,Lamborghini Urus,Urus,Lamb,19 500,Automatic,No Rating,R 5 999 999
Lamborghini,Lamborghini Urus,Urus,Lamb,54 000,Automatic,No Rating,R 5 699 990
Lamborghini,Lamborghini Huracan,LP610-4 Coupe,Lamb,27 000,Automatic,No Rating,R 6 399 900
Lamborghini,Lamborghini Urus,Urus,Lamb,37 500,Automatic,No Rating,R 5 899 999
Lamborghini,Lamborghini Urus,Urus,Lamb,27 000,Automatic,No Rating,R 6 199 000
Lamborghini,Lamborghini Urus,S,Lamb,20 456,Automatic,No Rating,R 7 999 000
Lamborghini,Lamborghini Urus,Urus,Lamb,38 000,Automatic,No Rating,R 5 399 000
Lamborghini,ined,,ined,,,,
Lamborghini,Lamborghini Huracan,LP610-4 Coupe,Lamb,7 600,Automatic,No Rating,R 6 199 999
Lamborghini,,,,,,No Rating,
Lamborghini,,,,,,No Rating,
Lamborghini,,,,,,No Rating,
Lamborghini,Lamborghini Urus,Urus,Lamb,14 427,Automatic,No Rating,R 7 799 000
Lamborghini,Lamborghini Urus,Urus,Lamb,21 967,Automatic,No Rating,R 6 999 000
Lamborghini,Lamborghini Huracan,LP610-4 Spyder,Lamb,33 500,Automatic,,POA
Lamborghini,Lamborghini Urus,S,Lamb,1 000,Automatic,No Rating,R 8 999 950
Lamborghini,Lamborghini Huracan,LP610-4 Coupe,Lamb,22 000,Automatic,No Rating,R 5 899 900
Lamborghini,Lamborghini Urus,Urus,Lamb,47 000,Automatic,No Rating,R 5 299 000
Lamborghini,Lamborghini Urus,Urus,Lamb,24 800,Automatic,No Rating,R 5 799 995
Lamborghini,Lamborghini Urus,Urus,Lamb,19 450,Automatic,No Rating,R 6 499 999
Lamborghini,Lamborghini Urus,Urus,Lamb,35 000,Automatic,No Rating,R 5 999 995
Lamborghini,Lamborghini Huracan,LP640-4 Performante Spyder,Lamb,21 000,Automatic,No Rating,R 9 999 990
Lamborghini,Lamborghini Urus,Urus,Lamb,3 000,Automatic,No Rating,R 6 799 995
Lamborghini,Lamborghini Huracan,LP610-4 Coupe,Lamb,28 000,Automatic,No Rating,R 5 395 000
Lamborghini,Lamborghini Aventador,LP700-4 Coupe,Lamb,10 000,Automatic,No Rating,R 9 999 995
Lamborghini,Lamborghini Urus,Urus,Lamb,5 000,Automatic,No Rating,R 5 999 995
Lamborghini,Lamborghini Gallardo,LP520-4 Spyder,Lamb,36 000,Automatic,No Rating,R 1 999 990
Lamborghini,,,,,,No Rating,
Lamborghini,,,,,,No Rating,
Lamborghini,,,,,,No Rating,
Lamborghini,Lamborghini Urus,Urus,Lamb,1 100,Automatic,No Rating,R 6 999 900
Lamborghini,ined,,ined,,,,
Lamborghini,Lamborghini Urus,Urus,Lamb,11 000,Automatic,No Rating,R 5 999 900
Lamborghini,Lamborghini Urus,Urus,Lamb,45 000,Automatic,No Rating,R 5 899 900
Lamborghini,Lamborghini Huracan,LP610-4 Coupe,Lamb,15 350,Automatic,,POA
Lamborghini,Lamborghini Huracan,LP610-4 Coupe,Lamb,31 470,Automatic,,POA
Lamborghini,Lamborghini Huracan,Evo Coupe,Lamb,23 560,Automatic,,POA
Lamborghini,Lamborghini Huracan,LP610-4 Coupe,Lamb,16 300,Automatic,No Rating,R 5 999 999
Lamborghini,Lamborghini Huracan,LP640-4 Performante Coupe,Lamb,33 742,Automatic,No Rating,R 8 999 000
Lamborghini,Lamborghini Urus,Performante,Lamb,13 970,Automatic,No Rating,R 9 490 000
Lamborghini,Lamborghini Urus,Urus,Lamb,72 000,Automatic,No Rating,R 4 999 995
Lamborghini,Lamborghini Huracan,LP610-4 Coupe,Lamb,33 000,Automatic,No Rating,R 5 500 000
Lamborghini,Lamborghini Huracan,Evo Coupe,Lamb,15 886,Automatic,No Rating,R 7 690 000
Lamborghini,Lamborghini Huracan,LP610-4 Coupe,Lamb,30 093,Automatic,No Rating,R 6 990 000
Lamborghini,Lamborghini Urus,Urus,Lamb,32 600,Automatic,No Rating,R 6 999 000
Lamborghini,Lamborghini Huracan,LP580-2 Coupe,Lamb,36 000,Automatic,No Rating,R 5 199 900
Lamborghini,Lamborghini Urus,Urus,Lamb,27 000,Automatic,No Rating,R 6 999 900
Lamborghini,Lamborghini Huracan,LP610-4 Coupe,Lamb,39 000,Automatic,No Rating,R 5 199 995
