Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Land Rover,,,,,,Fair Price,
Land Rover,,,,,,Low Price,
Land Rover,,,,,,Fair Price,
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,Land,10 975,Automatic,Great Price,R 1 849 995
Land Rover,Land Rover Defender,110 V8,Land,57 740,Automatic,Great Price,R 1 599 990
Land Rover,Land Rover Discovery Sport,D180 R-Dynamic SE,Land,80 000,Automatic,Great Price,R 499 900
Land Rover,Land Rover Discovery Sport,D200 Dynamic SE,Land,23 000,Automatic,Great Price,R 999 950
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,Land,7 500,Automatic,Great Price,R 1 879 000
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,Land,23 500,Automatic,Great Price,R 1 779 000
Land Rover,Land Rover Range Rover Sport,SE SDV6,Land,152 000,Automatic,Great Price,R 349 900
Land Rover,Land Rover Discovery Sport,D200 Dynamic SE,Land,21 000,Automatic,Great Price,R 999 950
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,Land,7 900,Automatic,Great Price,R 1 874 995
Land Rover,Land Rover Defender,110 D300 X,Land,29 000,Automatic,Great Price,R 1 449 900
Land Rover,,,,,,No Rating,
Land Rover,,,,,,No Rating,
Land Rover,,,,,,No Rating,
Land Rover,Land Rover Defender,110 D300 X-Dynamic HSE,Land,34 700,Automatic,Great Price,R 1 599 900
Land Rover,Land Rover Discovery,D300 R-Dynamic HSE,Land,82 000,Automatic,Great Price,R 1 299 900
Land Rover,Land Rover Defender,110 D240 SE,Land,73 500,Automatic,No Rating,R 1 199 950
Land Rover,Land Rover Range Rover Sport,D350 Dynamic HSE,Land,15 521,Automatic,Fair Price,R 2 299 000
Land Rover,Land Rover Discovery Sport,D180 R-Dynamic SE,Land,67 542,Automatic,Great Price,R 554 900
Land Rover,Land Rover Range Rover Evoque,D180 R-Dynamic SE First Edition,Land,67 542,Automatic,Great Price,R 599 900
Land Rover,Land Rover Freelander 2,SD4 SE,Land,183 000,Automatic,Great Price,R 179 000
Land Rover,Land Rover Discovery 4,SDV6 S,Land,196 557,Automatic,No Rating,R 349 995
Land Rover,ined,,ined,,,,
Land Rover,Land Rover Range Rover,P530 Autobiography,Land,3 937,Automatic,No Rating,R 4 349 900
Land Rover,Land Rover Range Rover,D350 First Edition,Land,1 350,Automatic,No Rating,R 3 099 995
Land Rover,Land Rover Range Rover,D350 HSE,Land,19 500,Automatic,No Rating,R 3 059 995
Land Rover,Land Rover Range Rover,P530 First Edition L,Land,61 000,Automatic,No Rating,R 2 299 950
Land Rover,Land Rover Discovery,D300 R-Dynamic HSE,Land,93 524,Automatic,No Rating,R 999 900
Land Rover,Land Rover Discovery,P360 R-Dynamic HSE,Land,88 147,Automatic,No Rating,R 999 900
Land Rover,Land Rover Range Rover Sport,D350 Autobiography,Land,12 541,Automatic,No Rating,R 2 199 900
Land Rover,,,,,,No Rating,
Land Rover,,,,,,Great Price,
Land Rover,,,,,,Great Price,
Land Rover,Land Rover Range Rover Evoque,D200 Dynamic SE,Land,6 245,Automatic,No Rating,R 1 089 900
Land Rover,Land Rover Range Rover Sport,HSE Silver TDV6,Land,77 101,Automatic,No Rating,R 1 069 900
Land Rover,Land Rover Defender,110 D300 X-Dynamic SE,Land,45 400,Automatic,Fair Price,R 1 499 900
Land Rover,Land Rover Defender,110 D300 X,Land,52 700,Automatic,Great Price,R 1 484 995
Land Rover,Land Rover Range Rover Evoque,D200 R-Dynamic HSE,Land,17 000,Automatic,No Rating,R 1 079 950
Land Rover,Land Rover Range Rover Sport,D350 Dynamic HSE,Land,7 500,Automatic,No Rating,R 2 449 995
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,Land,7 200,Automatic,No Rating,R 2 019 995
Land Rover,Land Rover Defender,110 D250 Se,Land,36 880,Automatic,Great Price,R 1 399 900
Land Rover,Land Rover Discovery Sport,D200 Dynamic SE,Land,13 355,Automatic,Great Price,R 989 900
Land Rover,ined,,ined,,,,
Land Rover,Land Rover Defender,90 D300 X-Dynamic HSE,Land,45 000,Automatic,No Rating,R 1 349 950
Land Rover,,,,,,Great Price,
Land Rover,,,,,,No Rating,
Land Rover,,,,,,No Rating,
Land Rover,Land Rover Range Rover Sport,SVR Carbon Edition,Land,124 000,Automatic,Great Price,R 999 890
Land Rover,Land Rover Discovery,D350 Dynamic SE,Land,8 709,Automatic,No Rating,R 1 699 900
Land Rover,Land Rover Range Rover Evoque,D200 Autobiography,Land,8 500,Automatic,No Rating,R 1 349 950
Land Rover,Land Rover Defender,110 D250 X-Dynamic SE,Land,6 201,Automatic,No Rating,R 1 699 900
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,Land,9 500,Automatic,No Rating,R 1 999 950
Land Rover,Land Rover Range Rover,Vogue SE Supercharged,Land,57 777,Automatic,No Rating,R 1 529 900
Land Rover,Land Rover Defender,110 D250 X-Dynamic SE,Land,20 000,Automatic,No Rating,R 1 649 900
Land Rover,Land Rover Discovery,D350 Dynamic SE,Land,9 805,Automatic,No Rating,R 1 699 900
Land Rover,Land Rover Range Rover Sport,D350 Dynamic HSE,Land,22 850,Automatic,No Rating,R 2 299 990
Land Rover,Land Rover Discovery,SE Td6,Land,63 000,Automatic,Fair Price,R 909 900
Land Rover,Land Rover Defender,110 D300 X-Dynamic HSE,Land,20 800,Automatic,Fair Price,R 1 714 995
Land Rover,Land Rover Range Rover Sport,HSE Dynamic Supercharged,Land,40 500,Automatic,No Rating,R 1 499 950
Land Rover,Land Rover Discovery,HSE Luxury TD6,Land,105 250,Automatic,No Rating,R 599 990
Land Rover,Land Rover Range Rover Evoque,D200 Dynamic SE,Land,17 500,Automatic,No Rating,R 1 099 950
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,Land,17 200,Automatic,Great Price,R 1 809 995
Land Rover,,,,,,Fair Price,
Land Rover,,,,,,Great Price,
Land Rover,,,,,,No Rating,
Land Rover,Land Rover Defender,110 D300 X,Land,52 700,Automatic,Great Price,R 1 484 995
Land Rover,Land Rover Discovery Sport,D200 Dynamic SE,Land,13 355,Automatic,Great Price,R 989 900
Land Rover,ined,,ined,,,,
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,Land,17 000,Automatic,Great Price,R 1 795 000
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,Land,11 000,Automatic,Great Price,R 1 829 900
Land Rover,Land Rover Discovery,D300 R-Dynamic SE,Land,73 000,Automatic,No Rating,R 1 249 900
Land Rover,Land Rover Range Rover Sport,D350 Dynamic HSE,Land,22 850,Automatic,No Rating,R 2 299 990
