Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Lexus,,,,,,No Rating,
Lexus,,,,,,No Rating,
Lexus,,,,,,No Rating,
Lexus,Lexus GX,550 SE,Lexu,23 000,Automatic,Great Price,R 1 799 990
Lexus,Lexus GX,550 Overtrail,Lexu,19 500,Automatic,No Rating,R 1 849 990
Lexus,Lexus LX,600 Urban,Lexu,30 500,Automatic,No Rating,R 2 099 900
Lexus,Lexus ES,250 EX,Lexu,96 000,Automatic,No Rating,R 429 900
Lexus,Lexus RX,350h,Lexu,3 000,Automatic,No Rating,R 1 349 990
Lexus,Lexus RX,350 F Sport,Lexu,3 000,Automatic,No Rating,R 1 299 990
Lexus,Lexus UX,250h SE,Lexu,100 900,Automatic,No Rating,R 479 900
Lexus,Lexus ES,300h EX,Lexu,48 000,Automatic,No Rating,R 559 900
Lexus,ined,,ined,,,,
Lexus,Lexus RC,350 F-Sport,Lexu,51 700,Automatic,No Rating,R 579 900
Lexus,Lexus NX,350 F Sport,Lexu,5 900,Automatic,No Rating,R 1 179 995
Lexus,,,,,,No Rating,
Lexus,,,,,,No Rating,
Lexus,,,,,,No Rating,
Lexus,Lexus IS,250 EX,Lexu,204 000,Automatic,No Rating,R 89 900
Lexus,Lexus IS,350 F-Sport,Lexu,120 000,Automatic,No Rating,R 319 900
Lexus,Lexus LX,500d F Sport,Lexu,26 500,Automatic,No Rating,R 2 370 000
Lexus,Lexus GX,550 Overtrail,Lexu,1 555,Automatic,No Rating,R 1 970 000
Lexus,Lexus LX,600 VIP,Lexu,24 000,Automatic,No Rating,R 2 399 990
Lexus,Lexus RX,350 EX,Lexu,58 000,Automatic,Fair Price,R 469 900
Lexus,Lexus RX,350 F Sport,Lexu,6 500,Automatic,No Rating,R 1 279 900
Lexus,Lexus RX,350 F-Sport,Lexu,69 000,Automatic,No Rating,R 679 900
Lexus,Lexus RC,350 F-Sport,Lexu,126 371,Automatic,No Rating,R 599 000
Lexus,Lexus GX,550 SE,Lexu,22 007,Automatic,Great Price,R 1 869 900
Lexus,Lexus ES,300h EX,Lexu,2 000,Automatic,No Rating,R 829 900
Lexus,Lexus IS,300h SE,Lexu,11 800,Automatic,No Rating,R 849 900
Lexus,Lexus LX,600 F Sport,Lexu,30 000,Automatic,No Rating,R 1 999 990
Lexus,Lexus GX,550 Overtrail,Lexu,600,Automatic,No Rating,R 2 060 000
Lexus,Lexus NX,250 EX,Lexu,395,Automatic,Great Price,R 815 995
Lexus,,,,,,Great Price,
Lexus,,,,,,No Rating,
Lexus,,,,,,No Rating,
Lexus,Lexus IS,300h EX,Lexu,47 500,Automatic,No Rating,R 599 990
Lexus,Lexus RX,350 F Sport,Lexu,22 500,Automatic,No Rating,R 1 049 990
Lexus,Lexus LX,570,Lexu,48 900,Automatic,,POA
Lexus,Lexus RX,350 F-Sport,Lexu,82 000,Automatic,No Rating,R 799 995
Lexus,ined,,ined,,,,
Lexus,Lexus NX,250 EX,Lexu,44 000,Automatic,Fair Price,R 679 900
Lexus,Lexus LX,500d F Sport,Lexu,1 000,Automatic,No Rating,R 2 399 900
Lexus,Lexus LX,700h Overtrail,Lexu,4 700,Automatic,No Rating,R 2 599 900
Lexus,Lexus NX,350h EX,Lexu,21 300,Automatic,Great Price,R 799 900
Lexus,Lexus ES,300h SE,Lexu,124 000,Automatic,No Rating,R 519 900
Lexus,Lexus ES,300h SE,Lexu,60 000,Automatic,No Rating,R 629 900
Lexus,,,,,,No Rating,
Lexus,,,,,,No Rating,
Lexus,,,,,,No Rating,
Lexus,Lexus NX,350h EX,Lexu,2 500,Automatic,No Rating,R 909 900
Lexus,Lexus GX,550 SE,Lexu,508,Automatic,No Rating,R 2 099 990
Lexus,Lexus NX,200t F-Sport,Lexu,77 000,Automatic,No Rating,R 369 990
Lexus,Lexus RZ,450e SE,Lexu,1 500,Automatic,No Rating,R 1 249 990
Lexus,Lexus NX,350h EX,Lexu,4 000,Automatic,No Rating,R 949 990
Lexus,Lexus UX,250h F Sport,Lexu,20 000,Automatic,No Rating,R 729 990
Lexus,Lexus UX,250h SE,Lexu,66 500,Automatic,No Rating,R 449 900
Lexus,Lexus NX,300 F-Sport,Lexu,90 500,Automatic,No Rating,R 529 900
Lexus,Lexus IS,350 F-Sport,Lexu,104 200,Automatic,No Rating,R 589 990
Lexus,Lexus RX,450h SE,Lexu,140 000,Automatic,No Rating,R 449 900
Lexus,Lexus UX,250h SE,Lexu,86 265,Automatic,No Rating,R 499 950
