Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
MINI,,,,,,Fair Price,
MINI,,,,,,Fair Price,
MINI,,,,,,Fair Price,
MINI,MINI Countryman,Cooper S Countryman,MINI,64 000,Automatic,Great Price,R 419 900
MINI,MINI Hatch,Cooper Hatch 5-Door Auto,MINI,102 670,Automatic,Fair Price,R 244 900
MINI,MINI Countryman,Cooper,MINI,2 022,Automatic,Great Price,R 669 900
MINI,MINI Hatch,Cooper Hatch 3-Door 60 Years Auto,MINI,30 000,Automatic,No Rating,R 329 950
MINI,MINI Countryman,Cooper S Countryman Auto,MINI,82 000,Automatic,Fair Price,R 249 950
MINI,MINI Countryman,Cooper S Countryman,MINI,104 000,Automatic,Great Price,R 334 950
MINI,MINI Cooper,C 5-door,MINI,17 000,Automatic,Great Price,R 519 900
MINI,MINI Hatch,John Cooper Works Hatch 3-Door,MINI,69 000,Automatic,Fair Price,R 449 900
MINI,ined,,ined,,,,
MINI,MINI Hatch,One Auto,MINI,125 589,Automatic,No Rating,R 129 950
MINI,MINI Hatch,Cooper S Hatch 3-Door,MINI,42 500,Automatic,Fair Price,R 369 995
MINI,,,,,,Fair Price,
MINI,,,,,,Fair Price,
MINI,,,,,,High Price,
MINI,MINI Hatch,Cooper,MINI,99 998,Manual,No Rating,R 129 950
MINI,MINI Countryman,Cooper Countryman,MINI,59 500,Automatic,Fair Price,R 379 900
MINI,MINI Hatch,Cooper S Hatch 3-door Paddy Hopkirk Edition,MINI,47 843,Automatic,No Rating,R 399 900
MINI,MINI Hatch,Cooper Hatch 3-Door,MINI,166 000,Manual,Great Price,R 129 990
MINI,MINI Countryman,S ALL4 Rugged Edition,MINI,1 100,Automatic,No Rating,R 799 900
MINI,MINI Hatch,Cooper S Hatch 3-Door Auto,MINI,73 000,Automatic,Great Price,R 249 900
MINI,MINI Countryman,Cooper,MINI,50 921,Automatic,No Rating,R 449 900
MINI,MINI Countryman,Cooper Countryman,MINI,260 600,Manual,No Rating,R 126 900
MINI,MINI Countryman,Cooper Countryman,MINI,80 000,Automatic,Fair Price,R 379 900
MINI,MINI Hatch,Cooper S Hatch 3-Door,MINI,27 000,Automatic,Fair Price,R 449 900
MINI,MINI Countryman,S All4,MINI,20 000,Automatic,Fair Price,R 739 900
MINI,MINI Countryman,Cooper S Countryman Auto,MINI,97 500,Automatic,Fair Price,R 319 900
MINI,MINI Hatch,Cooper S Auto,MINI,96 000,Automatic,No Rating,R 199 990
MINI,MINI Countryman,Cooper Countryman,MINI,47 000,Automatic,Great Price,R 379 900
MINI,MINI Hatch,John Cooper Works Hatch 3-Door,MINI,33 667,Automatic,Great Price,R 519 950
MINI,,,,,,No Rating,
MINI,,,,,,No Rating,
MINI,,,,,,No Rating,
MINI,MINI Clubman,John Cooper Works ALL4 Clubman,MINI,25 223,Automatic,Great Price,R 534 900
MINI,MINI Countryman,Cooper S Countryman Auto,MINI,97 500,Automatic,Fair Price,R 319 900
MINI,MINI Hatch,Cooper S Hatch 5-Door Auto,MINI,80 493,Automatic,Fair Price,R 299 900
MINI,MINI Convertible,Cooper S Convertible,MINI,49 000,Automatic,No Rating,R 539 000
MINI,MINI Cooper,S 5-door (F55),MINI,73 900,Automatic,Great Price,R 379 000
MINI,MINI Hatch,John Cooper Works Hatch 3-Door,MINI,55 000,Automatic,Fair Price,R 449 995
