Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Mahindra,,,,,,Great Price,
Mahindra,,,,,,No Rating,
Mahindra,,,,,,Fair Price,
Mahindra,Mahindra XUV300,1.5TD W6,Mahi,56 281,Manual,Great Price,R 219 800
Mahindra,Mahindra KUV100,1.2 D75 K8,Mahi,127 448,Manual,Great Price,R 119 900
Mahindra,Mahindra Pik Up,2.2 mHAWK S6 REFRESH P/U S/C,Mahi,10 300,Manual,Great Price,R 299 900
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab S6 Karoo Auto,Mahi,33 000,Automatic,Great Price,R 349 900
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab S4,Mahi,500,Manual,No Rating,R 309 900
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab S4,Mahi,500,Manual,No Rating,R 309 900
Mahindra,Mahindra XUV300,1.5TD W8,Mahi,86 000,Manual,Great Price,R 194 500
Mahindra,Mahindra KUV100 Nxt,1.2 G80 K2+,Mahi,177 000,Manual,Great Price,R 79 900
Mahindra,Mahindra XUV300,1.2T W4 SE,Mahi,34 000,Manual,Great Price,R 199 900
Mahindra,ined,,ined,,,,
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab 4x4 S6 Karoo,Mahi,69 998,Manual,No Rating,R 299 950
Mahindra,,,,,,No Rating,
Mahindra,,,,,,No Rating,
Mahindra,,,,,,No Rating,
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab S4,Mahi,4 000,Manual,Fair Price,R 289 800
Mahindra,Mahindra XUV 3XO,1.2T MX3 Auto,Mahi,1 500,Automatic,No Rating,R 298 999
Mahindra,Mahindra Pik Up,2.2CRDe S4 4x4,Mahi,81 525,Manual,Great Price,R 199 900
Mahindra,Mahindra XUV300,1.2T W4 SE,Mahi,78 000,Manual,Great Price,R 179 950
Mahindra,Mahindra XUV 3XO,1.2T MX3 Manual,Mahi,Man,Petrol,No Rating,R 269 999
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab S11,Mahi,Automa,Diesel,No Rating,R 453 000
Mahindra,Mahindra Scorpio Pik-Up,2.2CRDe Single Cab S4,Mahi,Man,Diesel,No Rating,R 298 000
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab 4x4 S6,Mahi,111 000,Manual,Great Price,R 249 500
Mahindra,Mahindra XUV 3XO,1.2T AX5 Auto,Mahi,14 000,Automatic,High Price,R 339 900
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab S4,Mahi,50 000,Manual,Fair Price,R 269 995
Mahindra,Mahindra Scorpio-n,2.2d Z8,Mahi,90 388,Automatic,Fair Price,R 389 890
Mahindra,Mahindra XUV 3XO,1.2T AX5L,Mahi,21 000,Automatic,Great Price,R 299 899
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab S11 Karoo,Mahi,102 300,Automatic,Great Price,R 309 900
Mahindra,Mahindra KUV100 Nxt,1.2 D75 K6+,Mahi,95 000,Manual,Fair Price,R 149 995
Mahindra,Mahindra XUV 3XO,1.2T AX5 Manual,Mahi,155,Manual,No Rating,R 289 950
Mahindra,,,,,,No Rating,
Mahindra,,,,,,No Rating,
Mahindra,,,,,,Great Price,
Mahindra,Mahindra XUV500,2.2CRDe W6,Mahi,41 500,Automatic,Great Price,R 289 500
Mahindra,Mahindra Pik Up,2.2 mHAWK S6 REFRESH P/U S/C,Mahi,90 500,Manual,Great Price,R 199 900
Mahindra,Mahindra XUV 3XO,1.2T MX3 Auto,Mahi,2 500,Automatic,No Rating,R 279 900
Mahindra,Mahindra KUV100 Nxt,1.2 G80 K2+,Mahi,143 000,Manual,Great Price,R 99 500
