Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Mazda,,,,,,No Rating,
Mazda,,,,,,High Price,
Mazda,,,,,,Fair Price,
Mazda,Mazda CX-5,2.0 Dynamic Auto,Mazd,76 000,Automatic,Great Price,R 319 900
Mazda,Mazda CX-5,2.0 Dynamic,Mazd,48 000,Automatic,Great Price,R 399 900
Mazda,Mazda CX-5,2.0 Active Auto,Mazd,161 000,Automatic,Great Price,R 239 900
Mazda,Mazda Mazda2,1.5 Dynamic Auto,Mazd,38 854,Automatic,Fair Price,R 209 900
Mazda,Mazda CX-5,2.0 Active Auto,Mazd,93 000,Automatic,Great Price,R 205 000
Mazda,Mazda CX-5,2.0 Active Auto,Mazd,57 500,Automatic,Fair Price,R 339 950
Mazda,Mazda BT-50,2.2 FreeStyle Cab SLX,Mazd,282 000,Manual,No Rating,R 149 950
Mazda,Mazda Mazda3,Hatch 1.6 Dynamic Auto,Mazd,90 200,Automatic,Fair Price,R 209 995
Mazda,Mazda CX-5,2.0 Dynamic Auto,Mazd,137 000,Automatic,Great Price,R 249 900
Mazda,Mazda Mazda2,1.5 Dynamic,Mazd,59 000,Manual,Great Price,R 189 900
Mazda,,,,,,No Rating,
Mazda,,,,,,No Rating,
Mazda,,,,,,No Rating,
Mazda,ined,,ined,,,,
Mazda,Mazda BT-50,3.0TD Double Cab Dynamic,Mazd,106 700,Automatic,Great Price,R 449 995
Mazda,Mazda CX-3,2.0 Individual,Mazd,113 588,Automatic,Fair Price,R 249 900
Mazda,Mazda Mazda2,1.5 Dynamic,Mazd,36 000,Manual,Fair Price,R 204 900
Mazda,Mazda CX-30,2.0 Dynamic Edition,Mazd,50,Automatic,No Rating,R 549 900
Mazda,Mazda CX-5,2.0 Dynamic,Mazd,50,Automatic,No Rating,R 549 900
Mazda,Mazda CX-3,2.0 Active,Mazd,66 443,Manual,Great Price,R 229 890
Mazda,Mazda CX-5,2.0 Carbon Edition,Mazd,Automa,Petrol,No Rating,R 585 900
Mazda,Mazda CX-5,2.2DE AWD Akera,Mazd,118 800,Automatic,Great Price,R 399 950
Mazda,Mazda CX-5,2.0 Active Auto,Mazd,57 456,Automatic,Fair Price,R 349 990
Mazda,Mazda CX-5,2.0 Dynamic Auto,Mazd,158 000,Automatic,Fair Price,R 289 950
Mazda,Mazda CX-5,2.2DE AWD Akera,Mazd,106 598,Automatic,Fair Price,R 319 950
Mazda,Mazda CX-30,2.0 Active,Mazd,65 000,Automatic,Fair Price,R 349 900
Mazda,Mazda CX-60,2.5 Dynamic,Mazd,25 741,Automatic,Great Price,R 499 900
Mazda,Mazda CX-30,2.0 Carbon Edition,Mazd,Automa,Petrol,No Rating,R 525 800
Mazda,Mazda Mazda2,1.5 Dynamic,Mazd,96 000,Manual,Great Price,R 189 990
Mazda,,,,,,No Rating,
Mazda,,,,,,Fair Price,
Mazda,,,,,,No Rating,
Mazda,Mazda Mazda2,1.5 Active,Mazd,1 500,Manual,No Rating,R 329 900
Mazda,Mazda CX-5,2.0 Individual,Mazd,100 387,Automatic,Fair Price,R 349 900
Mazda,Mazda CX-5,2.0 Active Auto,Mazd,82 000,Automatic,Great Price,R 245 000
