Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Mercedes-AMG,,,,,,No Rating,
Mercedes-AMG,,,,,,No Rating,
Mercedes-AMG,,,,,,Great Price,
Mercedes-AMG,Mercedes-AMG GLE,GLE53 Coupe 4Matic+,Merc,25 025,Automatic,Great Price,R 1 899 900
Mercedes-AMG,Mercedes-AMG G-Class,G63,Merc,15 000,Automatic,Great Price,R 4 399 995
Mercedes-AMG,Mercedes-AMG CLA,CLA45 S 4Matic+,Merc,36 841,Automatic,Great Price,R 929 900
Mercedes-AMG,Mercedes-AMG CLS,CLS53 4Matic+ AMG Edition 1,Merc,38 000,Automatic,No Rating,R 999 900
Mercedes-AMG,Mercedes-AMG GLE,GLE43,Merc,40 000,Automatic,Great Price,R 799 900
Mercedes-AMG,Mercedes-AMG A-Class,A45 S Hatch 4Matic+,Merc,60 000,Automatic,Fair Price,R 929 990
Mercedes-AMG,Mercedes-AMG G-Class,G63,Merc,59 800,Automatic,Fair Price,R 3 489 900
Mercedes-AMG,Mercedes-AMG A-Class,A45 S Hatch 4Matic+,Merc,37 000,Automatic,Great Price,R 859 900
Mercedes-AMG,Mercedes-AMG A-Class,A45 S Hatch 4Matic+,Merc,12 000,Automatic,Great Price,R 1 199 990
Mercedes-AMG,Mercedes-AMG GLA,GLA45 4Matic,Merc,80 554,Automatic,Fair Price,R 399 900
Mercedes-AMG,,,,,,No Rating,
Mercedes-AMG,,,,,,No Rating,
Mercedes-AMG,,,,,,No Rating,
Mercedes-AMG,ined,,ined,,,,
Mercedes-AMG,Mercedes-AMG CLA,CLA35 4Matic,Merc,43 982,Automatic,No Rating,R 789 999
Mercedes-AMG,Mercedes-AMG C-Class,C63 S,Merc,8 500,Automatic,Fair Price,R 1 549 000
Mercedes-AMG,Mercedes-AMG GLE,GLE63 S coupe,Merc,93 000,Automatic,Great Price,R 999 990
Mercedes-AMG,Mercedes-AMG GLE,GLE53 Coupe 4Matic+,Merc,41 806,Automatic,No Rating,R 1 829 949
Mercedes-AMG,Mercedes-AMG G-Class,G63,Merc,200,Automatic,No Rating,R 5 999 995
Mercedes-AMG,Mercedes-AMG GLE,GLE63 S coupe,Merc,133 000,Automatic,Fair Price,R 1 050 995
Mercedes-AMG,Mercedes-AMG G-Class,G63,Merc,50,Automatic,No Rating,R 5 799 995
Mercedes-AMG,Mercedes-AMG CLE,CLE53 Coupe,Merc,4 500,Automatic,No Rating,R 2 499 900
Mercedes-AMG,Mercedes-AMG G-Class,G63,Merc,34 000,Automatic,Fair Price,R 3 499 900
Mercedes-AMG,Mercedes-AMG CLA,CLA35 4Matic,Merc,29 000,Automatic,No Rating,R 999 950
Mercedes-AMG,Mercedes-AMG GLE,GLE53 Coupe 4Matic+,Merc,1 500,Automatic,No Rating,R 2 649 900
Mercedes-AMG,Mercedes-AMG GLE,GLE53 Coupe 4Matic+,Merc,1 500,Automatic,No Rating,R 2 699 900
Mercedes-AMG,Mercedes-AMG G-Class,G63 Edition 463,Merc,98 000,Automatic,No Rating,R 1 599 990
Mercedes-AMG,Mercedes-AMG C-Class,C43,Merc,19 000,Automatic,Fair Price,R 1 299 999
Mercedes-AMG,Mercedes-AMG GLE,GLE43 Coupe,Merc,77 000,Automatic,No Rating,R 869 900
Mercedes-AMG,,,,,,Great Price,
Mercedes-AMG,,,,,,Great Price,
Mercedes-AMG,,,,,,Fair Price,
Mercedes-AMG,Mercedes-AMG GLE,GLE63 S 4Matic+,Merc,85 000,Automatic,Great Price,R 1 549 999
Mercedes-AMG,Mercedes-AMG C-Class,C63 S Coupe,Merc,25 280,Automatic,High Price,R 2 099 950
Mercedes-AMG,Mercedes-AMG C-Class,C63 S,Merc,65 000,Automatic,High Price,R 1 388 888
Mercedes-AMG,ined,,ined,,,,
Mercedes-AMG,Mercedes-AMG G-Class,G63,Merc,100,Automatic,No Rating,R 5 999 995
Mercedes-AMG,Mercedes-AMG C-Class,C43 Cabriolet 4Matic,Merc,59 000,Automatic,No Rating,R 729 999
Mercedes-AMG,Mercedes-AMG C-Class,C43 Coupe 4Matic,Merc,36 995,Automatic,Fair Price,R 679 900
Mercedes-AMG,Mercedes-AMG A-Class,A45 4Matic,Merc,41 000,Automatic,Fair Price,R 579 950
Mercedes-AMG,Mercedes-AMG A-Class,A35 Sedan 4Matic,Merc,96 200,Automatic,No Rating,R 649 000
Mercedes-AMG,Mercedes-AMG SL,SL63,Merc,10 000,Automatic,No Rating,R 3 999 900
Mercedes-AMG,Mercedes-AMG E-Class,E63 S 4Matic+,Merc,13 900,Automatic,No Rating,R 2 199 995
Mercedes-AMG,,,,,,No Rating,
Mercedes-AMG,,,,,,No Rating,
Mercedes-AMG,,,,,,No Rating,
Mercedes-AMG,Mercedes-AMG A-Class,A45 4Matic,Merc,84 000,Automatic,Great Price,R 320 000
Mercedes-AMG,Mercedes-AMG C-Class,C43 4Matic,Merc,81 900,Automatic,Great Price,R 699 900
Mercedes-AMG,Mercedes-AMG A-Class,A45 S Hatch 4Matic+,Merc,43 000,Automatic,Fair Price,R 899 990
Mercedes-AMG,Mercedes-AMG GT,GT R Coupe,Merc,12 400,Automatic,No Rating,R 3 600 000
Mercedes-AMG,Mercedes-AMG A-Class,A45 S Hatch 4Matic+,Merc,56 000,Automatic,Fair Price,R 879 900
Mercedes-AMG,Mercedes-AMG C-Class,C63 Edition 1,Merc,92 000,Automatic,No Rating,R 849 999
Mercedes-AMG,Mercedes-AMG C-Class,C43 Coupe 4Matic,Merc,49 000,Automatic,Fair Price,R 659 950
Mercedes-AMG,Mercedes-AMG A-Class,A45 S Hatch 4Matic+,Merc,55 000,Automatic,Great Price,R 839 900
Mercedes-AMG,Mercedes-AMG GLE,GLE43 Coupe,Merc,134 294,Automatic,Great Price,R 629 900
Mercedes-AMG,Mercedes-AMG GLC,GLC43 4Matic,Merc,74 500,Automatic,Fair Price,R 635 000
Mercedes-AMG,Mercedes-AMG G-Class,G63,Merc,3 200,Automatic,No Rating,R 5 499 900
Mercedes-AMG,Mercedes-AMG C-Class,C43 4Matic,Merc,60 000,Automatic,Great Price,R 599 950
Mercedes-AMG,Mercedes-AMG GT,GT Black Series,Merc,1 200,Automatic,No Rating,R 13 495 000
Mercedes-AMG,Mercedes-AMG GLC,GLC43 4Matic,Merc,105 500,Automatic,Great Price,R 474 500
Mercedes-AMG,Mercedes-AMG GT,GT S Coupe,Merc,61 532,Automatic,High Price,R 1 499 000
Mercedes-AMG,,,,,,Fair Price,
Mercedes-AMG,,,,,,Fair Price,
Mercedes-AMG,,,,,,Great Price,
Mercedes-AMG,Mercedes-AMG CLA,CLA45 S 4Matic+,Merc,66 499,Automatic,No Rating,R 1 149 900
Mercedes-AMG,Mercedes-AMG G-Class,G63,Merc,100,Automatic,No Rating,R 5 599 999
Mercedes-AMG,Mercedes-AMG C-Class,C63 S,Merc,69 000,Automatic,Great Price,R 739 995
Mercedes-AMG,Mercedes-AMG GLE,GLE63 S Coupe 4Matic+,Merc,81 000,Automatic,,POA
Mercedes-AMG,Mercedes-AMG CLA,CLA45 4Matic,Merc,111 986,Automatic,Fair Price,R 479 950
Mercedes-AMG,Mercedes-AMG GLC,GLC63 S Coupe 4Matic+,Merc,75 151,Automatic,Fair Price,R 949 000
Mercedes-AMG,Mercedes-AMG C-Class,C43 4Matic,Merc,63 000,Automatic,Fair Price,R 719 900
Mercedes-AMG,Mercedes-AMG A-Class,A45 S Hatch 4Matic+,Merc,58 000,Automatic,No Rating,R 869 900
Mercedes-AMG,Mercedes-AMG C-Class,C63 S Coupe,Merc,107 600,Automatic,Fair Price,R 799 990
Mercedes-AMG,Mercedes-AMG GLS,GLS63 4Matic+,Merc,23 000,Automatic,No Rating,R 3 699 900
Mercedes-AMG,,,,,,Fair Price,
Mercedes-AMG,,,,,,No Rating,
