Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,,,,,,Fair Price,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,Mercedes-Benz Vito,116 CDI Tourer Pro,Merc,102 000,Automatic,Great Price,R 499 900
Mercedes-Benz,Mercedes-Benz CLA,CLA200 AMG Line,Merc,35 000,Automatic,Great Price,R 699 900
Mercedes-Benz,Mercedes-Benz GLA,GLA200d AMG Line,Merc,25 000,Automatic,Great Price,R 799 000
Mercedes-Benz,Mercedes-Benz A-Class,A200 Sedan AMG Line,Merc,17 260,Automatic,Great Price,R 639 900
Mercedes-Benz,Mercedes-Benz A-Class,A200 Sedan AMG Line,Merc,112 943,Automatic,Great Price,R 359 900
Mercedes-Benz,ined,,ined,,,,
Mercedes-Benz,Mercedes-Benz GLC,250 Coupe 4Matic AMG Line,Merc,155 000,Automatic,Great Price,R 428 888
Mercedes-Benz,Mercedes-Benz A-Class,A200 Sedan Progressive,Merc,64 000,Automatic,Great Price,R 389 900
Mercedes-Benz,Mercedes-Benz GLC,GLC300d 4Matic AMG Line,Merc,89 800,Automatic,Great Price,R 698 500
Mercedes-Benz,Mercedes-Benz A-Class,A200 Sedan AMG Line,Merc,98 000,Automatic,Great Price,R 469 900
Mercedes-Benz,Mercedes-Benz GLE,GLE400d 4Matic AMG Line,Merc,51 000,Automatic,Great Price,R 989 000
Mercedes-Benz,,,,,,No Rating,
Mercedes-Benz,,,,,,Fair Price,
Mercedes-Benz,,,,,,High Price,
Mercedes-Benz,Mercedes-Benz GLB,GLB220d 4Matic Progressive,Merc,45 000,Automatic,Great Price,R 699 000
Mercedes-Benz,Mercedes-Benz GLE,GLE450d Coupe 4Matic AMG Line,Merc,11 500,Automatic,Great Price,R 2 099 990
Mercedes-Benz,Mercedes-Benz A-Class,A200 AMG Line Auto,Merc,76 000,Automatic,Great Price,R 309 900
Mercedes-Benz,Mercedes-Benz B-Class,B200 Style,Merc,28 900,Automatic,No Rating,R 489 900
Mercedes-Benz,Mercedes-Benz C-Class,C350 Avantgarde,Merc,54 234,Automatic,No Rating,R 239 900
Mercedes-Benz,Mercedes-Benz G-Class,G400d,Merc,52 089,Automatic,Fair Price,R 2 749 900
Mercedes-Benz,Mercedes-Benz C-Class,C200 Avantgarde,Merc,49 000,Automatic,Fair Price,R 679 900
Mercedes-Benz,Mercedes-Benz ML,ML350 BlueTec,Merc,147 000,Automatic,Great Price,R 339 950
Mercedes-Benz,Mercedes-Benz SLS AMG,Coupe,Merc,8 000,Automatic,No Rating,R 5 499 900
Mercedes-Benz,Mercedes-Benz C-Class,C220d Avantgarde,Merc,55 000,Automatic,Great Price,R 599 950
Mercedes-Benz,Mercedes-Benz GLA,GLA200 Auto,Merc,82 274,Automatic,Great Price,R 337 900
Mercedes-Benz,Mercedes-Benz CLA,CLA200 AMG Line,Merc,69 392,Automatic,Great Price,R 569 900
Mercedes-Benz,Mercedes-Benz E-Class,E200 AMG Line,Merc,119 989,Automatic,No Rating,R 469 950
Mercedes-Benz,Mercedes-Benz C-Class,C180 Avantgarde Auto,Merc,143 000,Automatic,Fair Price,R 279 950
Mercedes-Benz,Mercedes-Benz A-Class,A200 Hatch Progressive,Merc,107 000,Automatic,Fair Price,R 449 950
Mercedes-Benz,,,,,,Fair Price,
