Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Mitsubishi,,,,,,Great Price,
Mitsubishi,,,,,,No Rating,
Mitsubishi,,,,,,High Price,
Mitsubishi,Mitsubishi Pajero Sport,2.5DI-D Auto,Mits,210 313,Automatic,Great Price,R 179 990
Mitsubishi,Mitsubishi ASX,2.0 ES Auto,Mits,60 510,Automatic,Great Price,R 249 000
Mitsubishi,Mitsubishi Eclipse Cross,1.5T GLS,Mits,35 000,Automatic,Great Price,R 334 500
Mitsubishi,Mitsubishi Eclipse Cross,2.0 GLS,Mits,85 000,Automatic,Fair Price,R 319 900
Mitsubishi,Mitsubishi ASX,2.0 Auto,Mits,92 000,Automatic,Great Price,R 239 480
Mitsubishi,ined,,ined,,,,
Mitsubishi,Mitsubishi Xpander,1.5 Manual,Mits,200,Manual,No Rating,R 365 990
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab Auto,Mits,180 000,Automatic,Fair Price,R 299 995
Mitsubishi,Mitsubishi Pajero,5-Door 3.2DI-D GLS Exceed,Mits,112 553,Automatic,Fair Price,R 579 950
Mitsubishi,Mitsubishi Eclipse Cross,2.0 GLS,Mits,109 000,Automatic,Fair Price,R 229 990
Mitsubishi,Mitsubishi Pajero Sport,2.4 D4,Mits,156 797,Automatic,No Rating,R 389 950
Mitsubishi,,,,,,No Rating,
Mitsubishi,,,,,,No Rating,
Mitsubishi,,,,,,No Rating,
Mitsubishi,Mitsubishi Eclipse Cross,1.5T GLS,Mits,17 935,Automatic,Great Price,R 329 900
Mitsubishi,Mitsubishi ASX,2.0 GLS Auto,Mits,154 000,Automatic,Great Price,R 149 900
Mitsubishi,Mitsubishi Colt,2000,Mits,300 913,Manual,No Rating,R 89 000
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab 4x4 Auto,Mits,101 048,Automatic,High Price,R 559 990
Mitsubishi,Mitsubishi Eclipse Cross,1.5T GLS,Mits,30 000,Automatic,Great Price,R 339 500
Mitsubishi,Mitsubishi Pajero,3-Door 3.8 GLS,Mits,231 000,Automatic,No Rating,R 169 995
Mitsubishi,Mitsubishi ASX,2.0 Auto,Mits,69 000,Automatic,Fair Price,R 259 900
Mitsubishi,Mitsubishi Triton,2.5DI-D ClubCab,Mits,119 803,Manual,No Rating,R 149 990
Mitsubishi,Mitsubishi Pajero,3-Door 3.8 GLS,Mits,253 067,Automatic,Great Price,R 189 900
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D 4x4,Mits,15 800,Automatic,Great Price,R 699 950
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D 4x4 Exceed,Mits,148 100,Automatic,Great Price,R 439 990
Mitsubishi,Mitsubishi Pajero,3-Door 3.2DI-D GLS,Mits,57 000,Automatic,Fair Price,R 869 900
Mitsubishi,Mitsubishi Eclipse Cross,2.0 GLS,Mits,15 000,Automatic,Great Price,R 289 890
Mitsubishi,Mitsubishi Xpander,1.5 Auto,Mits,250,Automatic,No Rating,R 369 999
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab 4x4 Auto,Mits,89 500,Automatic,Fair Price,R 499 900
Mitsubishi,,,,,,Fair Price,
Mitsubishi,,,,,,No Rating,
Mitsubishi,,,,,,Fair Price,
Mitsubishi,Mitsubishi Destinator,1.5T Exceed,Mits,Automa,Petrol,No Rating,R 549 900
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D 4x4,Mits,Automa,Diesel,No Rating,R 799 900
Mitsubishi,ined,,ined,,,,
Mitsubishi,Mitsubishi Xpander,Cross 1.5,Mits,Automa,Petrol,No Rating,R 409 900
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab GLS 4x4 Auto,Mits,Automa,Diesel,No Rating,R 709 900
Mitsubishi,Mitsubishi Destinator,1.5T GLS,Mits,Automa,Petrol,No Rating,R 489 900
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab GLS 4x4 Auto,Mits,Automa,Diesel,No Rating,R 709 800
Mitsubishi,Mitsubishi Xpander,1.5 Auto,Mits,90 408,Automatic,Great Price,R 249 700
Mitsubishi,Mitsubishi Outlander Sport,1.5 Exceed,Mits,Automa,Petrol,No Rating,R 479 800
Mitsubishi,Mitsubishi ASX,2.0 ES Auto,Mits,57 981,Automatic,High Price,R 2 299 900
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab 4x4 Xtreme,Mits,83 500,Automatic,Fair Price,R 520 000
Mitsubishi,,,,,,No Rating,
Mitsubishi,,,,,,No Rating,
Mitsubishi,,,,,,No Rating,
Mitsubishi,Mitsubishi Pajero,5-Door 3.2DI-D GLS,Mits,225 000,Automatic,Fair Price,R 399 950
Mitsubishi,Mitsubishi Xpander,1.5 Manual,Mits,200,Manual,No Rating,R 379 800
Mitsubishi,Mitsubishi ASX,2.0 ES Auto,Mits,55 746,Automatic,Fair Price,R 279 000
Mitsubishi,Mitsubishi Pajero,5-Door 3.2DI-D GLS Exceed,Mits,112 553,Automatic,Fair Price,R 579 950
Mitsubishi,Mitsubishi Eclipse Cross,2.0 GLS,Mits,68 500,Automatic,Fair Price,R 269 900
Mitsubishi,Mitsubishi Xpander,1.5 Auto,Mits,50,Automatic,No Rating,R 384 900
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D 4x4,Mits,15 000,Automatic,Great Price,R 699 900
Mitsubishi,Mitsubishi Xpander,1.5 Auto,Mits,83 000,Automatic,Fair Price,R 259 500
Mitsubishi,Mitsubishi Triton,2.4DI-D Single Cab GL,Mits,50 000,Manual,Fair Price,R 319 900
Mitsubishi,Mitsubishi ASX,2.0 5DR GLX /SPORT,Mits,176 000,Automatic,Fair Price,R 159 950
Mitsubishi,Mitsubishi Xpander,1.5 Auto,Mits,63 112,Automatic,Fair Price,R 309 800
Mitsubishi,Mitsubishi Xpander,1.5 Auto,Mits,67 000,Automatic,Fair Price,R 259 900
Mitsubishi,Mitsubishi ASX,2.0 Auto,Mits,89 000,Automatic,Great Price,R 245 000
Mitsubishi,Mitsubishi Eclipse Cross,2.0 GLS,Mits,20 900,Automatic,Great Price,R 329 950
Mitsubishi,Mitsubishi Eclipse Cross,2.0 GLS,Mits,51 000,Automatic,Fair Price,R 249 990
Mitsubishi,,,,,,Great Price,
Mitsubishi,,,,,,Great Price,
Mitsubishi,,,,,,Fair Price,
Mitsubishi,ined,,ined,,,,
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab GLS Auto,Mits,Automa,Diesel,No Rating,R 679 990
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D 4x4 Exceed,Mits,119 324,Automatic,Fair Price,R 499 900
Mitsubishi,Mitsubishi Outlander Sport,1.5 GLS,Mits,120,Automatic,No Rating,R 429 995
Mitsubishi,Mitsubishi Outlander Sport,1.5 GL,Mits,135,Automatic,No Rating,R 409 995
Mitsubishi,Mitsubishi Xpander,1.5 Manual,Mits,90,Manual,No Rating,R 364 900
Mitsubishi,Mitsubishi Xpander,1.5 Auto,Mits,90,Automatic,No Rating,R 384 900
Mitsubishi,Mitsubishi ASX,2.0 ES Auto,Mits,41 616,Automatic,Fair Price,R 305 900
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab Auto,Mits,182 500,Automatic,Great Price,R 299 900
Mitsubishi,Mitsubishi ASX,2.0 Aspire,Mits,42 000,Automatic,Fair Price,R 339 950
Mitsubishi,Mitsubishi Xpander,1.5 Manual,Mits,100,Manual,No Rating,R 379 800
Mitsubishi,,,,,,High Price,
Mitsubishi,,,,,,Fair Price,
Mitsubishi,,,,,,Great Price,
Mitsubishi,Mitsubishi Pajero,5-Door 3.2DI-D GLS Exceed,Mits,191 499,Automatic,Fair Price,R 499 900
Mitsubishi,Mitsubishi Pajero,3-Door 3.2DI-D GLS,Mits,76 334,Automatic,Fair Price,R 699 950
Mitsubishi,Mitsubishi Pajero,5-Door 3.2DI-D GLS Exceed,Mits,93 000,Automatic,Fair Price,R 639 900
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab GLS 4x4 Auto,Mits,3 000,Automatic,No Rating,R 759 990
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D 4x4 Exceed,Mits,74 000,Automatic,Fair Price,R 634 900
Mitsubishi,Mitsubishi ASX,2.0 5DR GLX /SPORT,Mits,151 000,Automatic,Fair Price,R 172 500
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D,Mits,112 000,Automatic,Fair Price,R 449 900
Mitsubishi,Mitsubishi Pajero,5-Door 3.2DI-D GLS Exceed,Mits,143 546,Automatic,Fair Price,R 659 900
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab 4x4 Xtreme,Mits,66 400,Automatic,Great Price,R 519 500
