Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Nissan,,,,,,No Rating,
Nissan,,,,,,Great Price,
Nissan,,,,,,No Rating,
Nissan,Nissan Magnite,1.0 Turbo Acenta Auto,Niss,9 000,Automatic,Great Price,R 249 900
Nissan,Nissan Navara,2.5DDTi Double Cab LE Plus,Niss,15 240,Automatic,Great Price,R 539 900
Nissan,Nissan Micra,66kW Turbo Acenta,Niss,107 000,Manual,Great Price,R 149 995
Nissan,Nissan Magnite,1.0 Acenta Auto,Niss,85 000,Automatic,Great Price,R 189 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Kuro Manual,Niss,15 257,Manual,Great Price,R 249 800
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus Auto,Niss,15 200,Automatic,Great Price,R 239 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus Auto,Niss,45 000,Automatic,Great Price,R 229 950
Nissan,Nissan Navara,2.5DDTi Double Cab SE Plus Auto,Niss,60 500,Automatic,Great Price,R 419 900
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-4X 4x4,Niss,43 212,Automatic,Great Price,R 449 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus,Niss,87 000,Manual,Great Price,R 189 900
Nissan,,,,,,Fair Price,
Nissan,,,,,,No Rating,
Nissan,,,,,,No Rating,
Nissan,Nissan Magnite,1.0 Turbo Acenta Auto,Niss,49 000,Automatic,Great Price,R 209 800
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-4X 4x4,Niss,11 500,Automatic,Great Price,R 669 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus Auto,Niss,70 000,Automatic,Fair Price,R 229 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Auto,Niss,78 500,Automatic,Great Price,R 189 950
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,Niss,157 000,Manual,Great Price,R 177 500
Nissan,Nissan Navara,2.5DDTi Double Cab Stealth 4x4,Niss,9 700,Automatic,No Rating,R 719 900
Nissan,Nissan Navara,2.5DDTi Single Cab XE,Niss,4 000,Manual,No Rating,R 433 500
Nissan,Nissan Magnite,1.0 Turbo Visia,Niss,24 000,Manual,Fair Price,R 229 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus Auto,Niss,68 000,Automatic,Great Price,R 189 800
Nissan,ined,,ined,,,,
Nissan,Nissan Navara,2.5DDTi Single Cab XE,Niss,14 000,Manual,Great Price,R 349 800
Nissan,Nissan Qashqai,1.3T Acenta Plus,Niss,65 000,Automatic,Great Price,R 339 900
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-4X 4x4,Niss,18 199,Automatic,Great Price,R 649 800
Nissan,Nissan Qashqai,1.5dCi Acenta,Niss,177 000,Manual,Great Price,R 139 900
Nissan,Nissan NP200,1.5dCi Safety Pack,Niss,143 000,Manual,Great Price,R 89 900
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-2X,Niss,85 962,Automatic,Fair Price,R 479 900
Nissan,,,,,,High Price,
Nissan,,,,,,Fair Price,
Nissan,,,,,,Great Price,
Nissan,Nissan Qashqai,1.3T Acenta,Niss,81 000,Automatic,Great Price,R 329 900
Nissan,Nissan X-Trail,2.5 4x4 Acenta,Niss,160 000,Automatic,Fair Price,R 199 900
Nissan,Nissan Qashqai,1.2T Acenta Auto,Niss,116 177,Automatic,Fair Price,R 229 900
Nissan,Nissan Navara,2.3D Double Cab Stealth Auto,Niss,99 000,Automatic,Great Price,R 339 990
Nissan,Nissan Almera,1.5 Acenta Auto,Niss,97 188,Automatic,Fair Price,R 185 990
Nissan,Nissan Juke,1.2T Acenta,Niss,140 000,Manual,Fair Price,R 169 995
Nissan,Nissan NP300 Hardbody,2.5TDi,Niss,214 000,Manual,Fair Price,R 219 990
Nissan,Nissan Magnite,1.0 Move Panel Van,Niss,18 000,Manual,Fair Price,R 189 800
Nissan,Nissan Magnite,1.0 Move Panel Van,Niss,18 000,Manual,Fair Price,R 189 800
Nissan,Nissan Magnite,1.0 Visia Auto,Niss,3 000,Automatic,No Rating,R 259 800
Nissan,,,,,,No Rating,
Nissan,,,,,,No Rating,
Nissan,,,,,,No Rating,
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-2X,Niss,5 000,Automatic,No Rating,R 789 800
Nissan,Nissan Qashqai,1.2T Midnight Edition,Niss,80 000,Automatic,Fair Price,R 279 950
Nissan,Nissan Micra Active,1.2 Visia,Niss,89 256,Manual,Fair Price,R 139 900
Nissan,Nissan Magnite,1.0 Turbo Kuro,Niss,25 000,Automatic,No Rating,R 259 990
Nissan,Nissan NP200,1.6,Niss,69 000,Manual,Fair Price,R 174 500
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus Auto,Niss,70 500,Automatic,Fair Price,R 219 900
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,Niss,81 953,Manual,High Price,R 239 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus Auto,Niss,41 000,Automatic,Great Price,R 219 500
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-2X,Niss,84 900,Automatic,Fair Price,R 519 950
Nissan,ined,,ined,,,,
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus,Niss,18 165,Manual,Fair Price,R 254 900
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-4X 4x4,Niss,7 000,Automatic,Fair Price,R 689 995
Nissan,Nissan Patrol,5.6 V8 LE 4WD,Niss,47 500,Automatic,Great Price,R 1 149 900
Nissan,Nissan NP300 Hardbody,2.5TDi,Niss,29 500,Manual,High Price,R 299 900
Nissan,Nissan NP200,1.6 16v High,Niss,97 000,Manual,Fair Price,R 219 899
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,Niss,40 500,Manual,Fair Price,R 249 950
Nissan,,,,,,No Rating,
Nissan,,,,,,Fair Price,
Nissan,,,,,,No Rating,
Nissan,Nissan Magnite,1.0 Acenta Plus,Niss,12 000,Automatic,Fair Price,R 274 950
Nissan,Nissan Magnite,1.0 Acenta Plus Auto,Niss,40 000,Automatic,Fair Price,R 249 950
Nissan,ined,,ined,,,,
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-4X 4x4,Niss,78 000,Automatic,Fair Price,R 579 995
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus Auto,Niss,17 158,Automatic,Great Price,R 229 995
Nissan,Nissan Micra,66kW Turbo Visia,Niss,72 236,Manual,Fair Price,R 189 900
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,Niss,59 914,Manual,Fair Price,R 219 501
Nissan,Nissan NP300 Hardbody,2.5TDi Double Cab 4x4,Niss,179 657,Manual,Great Price,R 199 900
Nissan,Nissan X-Trail,2.0 Visia,Niss,67 000,Manual,Fair Price,R 279 899
Nissan,Nissan Juke,1.2T Acenta,Niss,139 000,Manual,Great Price,R 149 000
Nissan,Nissan Magnite,1.0 Visia Manual,Niss,17 000,Manual,Fair Price,R 249 950
Nissan,,,,,,Fair Price,
Nissan,,,,,,High Price,
Nissan,,,,,,Fair Price,
Nissan,Nissan Terra,2.5DDTi LE 4x4,Niss,57 076,Automatic,No Rating,R 549 950
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,Niss,34 000,Manual,Fair Price,R 199 900
Nissan,Nissan Qashqai,1.3T Acenta,Niss,46 715,Automatic,High Price,R 579 830
Nissan,Nissan NP300 Hardbody,2.5TDi Double Cab Hi-Rider,Niss,148 000,Manual,Fair Price,R 219 900
Nissan,Nissan Qashqai,1.2T Midnight Edition,Niss,56 000,Automatic,Fair Price,R 289 900
Nissan,Nissan NP200,1.5dCi High,Niss,91 500,Manual,Fair Price,R 194 700
Nissan,Nissan X-Trail,2.0 Visia,Niss,149 600,Manual,Great Price,R 179 950
Nissan,Nissan Magnite,1.0 Turbo Acenta Red Edition Auto,Niss,65 000,Automatic,Great Price,R 229 900
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-2X,Niss,1 500,Automatic,Great Price,R 599 900
Nissan,Nissan Magnite,1.0 Acenta Manual,Niss,8 000,Manual,Fair Price,R 264 888
Nissan,Nissan NP300 Hardbody,2.5TDi,Niss,158 061,Manual,High Price,R 249 900
Nissan,Nissan Micra,66kW Turbo Acenta,Niss,30 550,Manual,Great Price,R 169 900
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,Niss,150 800,Manual,Fair Price,R 179 800
Nissan,Nissan Magnite,1.0 Visia,Niss,45 000,Manual,Fair Price,R 199 899
Nissan,Nissan NP200,1.6 16v High,Niss,50 787,Manual,Fair Price,R 229 990
Nissan,,,,,,No Rating,
Nissan,,,,,,Fair Price,
Nissan,,,,,,Fair Price,
Nissan,Nissan Magnite,1.0 Visia,Niss,9 500,Manual,Great Price,R 189 995
Nissan,Nissan NP300 Hardbody,2.5TDi Double Cab Hi-Rider,Niss,235 635,Manual,Fair Price,R 199 900
Nissan,Nissan Almera,1.5 Acenta,Niss,189 000,Manual,Great Price,R 57 900
Nissan,Nissan Magnite,1.0 Visia Auto,Niss,30,Automatic,No Rating,R 239 900
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,Niss,31 563,Manual,Fair Price,R 249 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Auto,Niss,50 200,Automatic,Great Price,R 209 900
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,Niss,63 000,Manual,Great Price,R 169 990
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,Niss,124 000,Manual,Fair Price,R 159 900
Nissan,Nissan Magnite,1.0 Turbo Acenta,Niss,26 000,Manual,Fair Price,R 219 995
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,Niss,47 000,Manual,Fair Price,R 189 950
Nissan,,,,,,No Rating,
Nissan,,,,,,No Rating,
Nissan,,,,,,No Rating,
Nissan,Nissan Magnite,1.0 Visia,Niss,30 700,Manual,Fair Price,R 209 900
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,Niss,113 000,Manual,Fair Price,R 179 900
Nissan,ined,,ined,,,,
Nissan,Nissan Magnite,1.0 Turbo Acenta Kuro Manual,Niss,Man,Petrol,,POA
Nissan,Nissan Magnite,1.0 Turbo Acenta Auto,Niss,10 000,Automatic,Great Price,R 249 900
Nissan,Nissan Navara,2.5DDTi Double Cab Pro-4x 4x4 Warrior,Niss,9 000,Automatic,No Rating,R 699 900
Nissan,Nissan Magnite,1.0 Acenta Auto,Niss,60 000,Automatic,Fair Price,R 229 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Auto,Niss,10 000,Automatic,Great Price,R 249 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus,Niss,38 000,Manual,Great Price,R 219 900
Nissan,Nissan Patrol,5.6 V8 LE 4WD,Niss,106 000,Automatic,No Rating,R 819 900
Nissan,Nissan Qashqai,1.2T Visia,Niss,92 000,Manual,Fair Price,R 189 000
Nissan,Nissan NP300 Hardbody,2.0 (Aircon),Niss,59 500,Manual,Fair Price,R 199 900
Nissan,Nissan NP300 Hardbody,2.5TDi Hi-Rider,Niss,118 881,Manual,Fair Price,R 227 800
Nissan,Nissan NP200,1.6i Stealth,Niss,71 285,Manual,Fair Price,R 219 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus Auto,Niss,18 000,Automatic,Fair Price,R 279 900
Nissan,Nissan NP200,1.6,Niss,123 000,Manual,Fair Price,R 149 950
Nissan,,,,,,Fair Price,
Nissan,,,,,,Fair Price,
Nissan,,,,,,Fair Price,
Nissan,Nissan Almera,1.5 Acenta Auto,Niss,130 000,Automatic,High Price,R 159 899
Nissan,Nissan Magnite,1.0 Visia Manual,Niss,41 119,Manual,Great Price,R 199 995
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus Auto,Niss,27 500,Automatic,Fair Price,R 259 900
Nissan,ined,,ined,,,,
Nissan,Nissan GT-R,Premium Edition,Niss,19 000,Automatic,No Rating,R 2 499 900
Nissan,Nissan X-Trail,2.5 4x4 Acenta Plus,Niss,213 000,Automatic,Low Price,R 139 900
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-2X,Niss,46 000,Automatic,Fair Price,R 594 900
Nissan,Nissan X-Trail,2.5 4x4 Acenta,Niss,140 000,Automatic,Fair Price,R 289 995
Nissan,Nissan Qashqai,1.2T Midnight Edition,Niss,78 761,Automatic,Fair Price,R 269 950
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus,Niss,1 250,Automatic,No Rating,R 329 900
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,Niss,91 300,Manual,Fair Price,R 169 750
Nissan,,,,,,No Rating,
Nissan,,,,,,No Rating,
Nissan,,,,,,Great Price,
Nissan,Nissan Navara,2.5DDTi Double Cab SE,Niss,131 500,Manual,Fair Price,R 359 900
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,Niss,59 400,Manual,Fair Price,R 219 900
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-2X,Niss,49 000,Automatic,Fair Price,R 499 900
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-4X 4x4,Niss,100,Automatic,No Rating,R 799 990
Nissan,Nissan Qashqai,1.2T Acenta Auto,Niss,145 000,Automatic,Fair Price,R 179 995
Nissan,Nissan Magnite,1.0 Visia Manual,Niss,1 500,Manual,No Rating,R 209 900
Nissan,Nissan Micra Active,1.2 Visia,Niss,178 000,Manual,Great Price,R 89 990
Nissan,Nissan Magnite,1.0 Acenta Manual,Niss,4 000,Manual,No Rating,R 229 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus Auto,Niss,74 000,Automatic,Fair Price,R 251 900
Nissan,Nissan Magnite,1.0 Turbo Acenta,Niss,63 200,Manual,Fair Price,R 199 900
