Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Rolls-Royce,,,,,,No Rating,
Rolls-Royce,,,,,,No Rating,
Rolls-Royce,Rolls-Royce Cullinan,6.7 V12,Roll,39 000,Automatic,No Rating,R 11 950 000
Rolls-Royce,Rolls-Royce Ghost,6.6L,Roll,48 500,Automatic,No Rating,R 3 799 999
Rolls-Royce,Rolls-Royce Phantom,Phantom,Roll,84 353,Automatic,No Rating,R 3 999 000
Rolls-Royce,Rolls-Royce Ghost,6.6L,Roll,24 000,Automatic,No Rating,R 11 999 000
Rolls-Royce,Rolls-Royce Ghost,Black Badge,Roll,1 600,Automatic,No Rating,R 13 500 000
Rolls-Royce,Rolls-Royce Ghost,Black Badge,Roll,175,Automatic,,POA
Rolls-Royce,Rolls-Royce Cullinan,6.7 V12,Roll,2 949,Automatic,No Rating,R 14 999 900
Rolls-Royce,Rolls-Royce Wraith,Black Badge,Roll,12 100,Automatic,,POA
Rolls-Royce,Rolls-Royce Wraith,V12 Coupe,Roll,17 000,Automatic,No Rating,R 7 650 000
Rolls-Royce,Rolls-Royce Ghost,6.6L,Roll,56 000,Automatic,No Rating,R 4 699 950
Rolls-Royce,,,,,,No Rating,
Rolls-Royce,,,,,,No Rating,
Rolls-Royce,Rolls-Royce Wraith,V12 Coupe,Roll,37 270,Automatic,No Rating,R 5 999 000
Rolls-Royce,Rolls-Royce Phantom,Extended Wheelbase,Roll,33 000,Automatic,No Rating,R 3 999 950
Rolls-Royce,Rolls-Royce Ghost,6.6L,Roll,18 853,Automatic,,POA
Rolls-Royce,Rolls-Royce Ghost,Extended Wheelbase,Roll,41 940,Automatic,,POA
Rolls-Royce,Rolls-Royce Ghost,6.6L,Roll,39 000,Automatic,No Rating,R 4 150 000
Rolls-Royce,Rolls-Royce Ghost,6.6L,Roll,57 500,Automatic,No Rating,R 5 190 000
Rolls-Royce,Rolls-Royce Dawn,V12,Roll,13 910,Automatic,,POA
Rolls-Royce,Rolls-Royce Ghost,6.6L,Roll,23 450,Automatic,No Rating,R 11 999 500
Rolls-Royce,Rolls-Royce Phantom II,7.7 i6,Roll,22 778,Manual,,POA
Rolls-Royce,Rolls-Royce Ghost,6.6L,Roll,106 000,Automatic,No Rating,R 3 299 990
Rolls-Royce,ined,,ined,,,,
Rolls-Royce,Rolls-Royce Wraith,V12 Coupe,Roll,68 000,Automatic,No Rating,R 4 999 990
Rolls-Royce,Rolls-Royce Cullinan,Black Badge,Roll,5 000,Automatic,,POA
Rolls-Royce,Rolls-Royce Ghost,6.6L,Roll,12 000,Automatic,No Rating,R 5 999 999
Rolls-Royce,Rolls-Royce Ghost,6.6L,Roll,60 150,Automatic,No Rating,R 4 999 990
Rolls-Royce,Rolls-Royce Phantom,Phantom,Roll,17 000,Automatic,No Rating,R 6 999 999
Rolls-Royce,,,,,,No Rating,
Rolls-Royce,Rolls-Royce Cullinan,6.7 V12,Roll,39 000,Automatic,No Rating,R 11 950 000
Rolls-Royce,Rolls-Royce Ghost,6.6L,Roll,24 000,Automatic,No Rating,R 11 999 000
Rolls-Royce,Rolls-Royce Ghost,Black Badge,Roll,1 600,Automatic,No Rating,R 13 500 000
Rolls-Royce,Rolls-Royce Ghost,Black Badge,Roll,175,Automatic,,POA
Rolls-Royce,Rolls-Royce Cullinan,6.7 V12,Roll,2 949,Automatic,No Rating,R 14 999 900
Rolls-Royce,Rolls-Royce Wraith,Black Badge,Roll,12 100,Automatic,,POA
Rolls-Royce,Rolls-Royce Wraith,V12 Coupe,Roll,17 000,Automatic,No Rating,R 7 650 000
Rolls-Royce,Rolls-Royce Ghost,6.6L,Roll,56 000,Automatic,No Rating,R 4 699 950
Rolls-Royce,Rolls-Royce Ghost,Extended Wheelbase,Roll,41 940,Automatic,,POA
Rolls-Royce,ined,,ined,,,,
Rolls-Royce,Rolls-Royce Ghost,6.6L,Roll,57 500,Automatic,No Rating,R 5 190 000
Rolls-Royce,,,,,,No Rating,
Rolls-Royce,,,,,,No Rating,
Rolls-Royce,Rolls-Royce Dawn,V12,Roll,13 910,Automatic,,POA
Rolls-Royce,Rolls-Royce Ghost,6.6L,Roll,23 450,Automatic,No Rating,R 11 999 500
Rolls-Royce,Rolls-Royce Wraith,V12 Coupe,Roll,68 000,Automatic,No Rating,R 4 999 990
Rolls-Royce,Rolls-Royce Cullinan,Black Badge,Roll,5 000,Automatic,,POA
Rolls-Royce,Rolls-Royce Ghost,6.6L,Roll,60 150,Automatic,No Rating,R 4 999 990
Rolls-Royce,Rolls-Royce Phantom,Phantom,Roll,17 000,Automatic,No Rating,R 6 999 999
Rolls-Royce,Rolls-Royce Ghost,Extended Wheelbase,Roll,34 000,Automatic,No Rating,R 5 999 995

