Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,Fair Price,
Suzuki,Suzuki Vitara Brezza,1.5 GL,Suzu,110 600,Manual,Great Price,R 189 900
Suzuki,Suzuki Swift,1.2 GL+ Manual,Suzu,27 967,Manual,Great Price,R 209 500
Suzuki,Suzuki Baleno,1.5 GL Manual,Suzu,45 000,Manual,Great Price,R 214 900
Suzuki,Suzuki Swift,1.2 GL+ Auto,Suzu,27 696,Automatic,Great Price,R 229 995
Suzuki,Suzuki Swift,1.2 GL,Suzu,73 000,Manual,Great Price,R 185 900
Suzuki,ined,,ined,,,,
Suzuki,Suzuki Swift,1.2 GL+ CVT,Suzu,28 997,Automatic,Great Price,R 219 900
Suzuki,Suzuki Swift,1.2 GL,Suzu,21 257,Manual,Great Price,R 209 000
Suzuki,Suzuki Swift,1.2 GL Auto,Suzu,79 165,Automatic,Great Price,R 169 900
Suzuki,Suzuki Vitara Brezza,1.5 GLX Auto,Suzu,33 458,Automatic,Great Price,R 259 999
Suzuki,Suzuki Swift,1.2 GLX CVT,Suzu,6 000,Automatic,Fair Price,R 279 900
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Swift,1.2 GL+ Manual,Suzu,16 554,Manual,Fair Price,R 229 900
Suzuki,Suzuki Fronx,1.5 GL Auto,Suzu,41 055,Automatic,Great Price,R 279 990
Suzuki,Suzuki Swift,1.2 GL+ Manual,Suzu,18 000,Manual,Great Price,R 219 995
Suzuki,Suzuki S-Presso,1.0 GL+,Suzu,31 859,Manual,Great Price,R 129 500
Suzuki,Suzuki DZire,1.2 GA,Suzu,42 391,Manual,Great Price,R 174 990
Suzuki,Suzuki DZire,1.2 GA,Suzu,65 000,Manual,Great Price,R 169 900
Suzuki,Suzuki Ciaz,1.5 GLX Auto,Suzu,53 000,Automatic,Fair Price,R 209 900
Suzuki,Suzuki Swift,1.2 GL,Suzu,29 465,Manual,Great Price,R 202 900
Suzuki,Suzuki S-Presso,1.0 GL+ Auto,Suzu,12 859,Automatic,Great Price,R 139 500
Suzuki,Suzuki Swift,1.2 GA,Suzu,72 000,Manual,Fair Price,R 179 900
Suzuki,Suzuki Fronx,1.5 GL Auto,Suzu,17 100,Automatic,Great Price,R 269 900
Suzuki,Suzuki DZire,1.2 GA,Suzu,45 615,Manual,Great Price,R 184 990
Suzuki,Suzuki Ertiga,1.5 GA,Suzu,42 500,Manual,No Rating,R 289 800
Suzuki,Suzuki Ertiga,1.5 GA,Suzu,24,Manual,No Rating,R 359 900
Suzuki,Suzuki Fronx,1.5 GLX Auto,Suzu,4 800,Automatic,No Rating,R 339 800
Suzuki,,,,,,Great Price,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Celerio,1.0 GL Auto,Suzu,1 800,Automatic,Great Price,R 194 900
Suzuki,Suzuki Swift,1.2 GL+ Auto,Suzu,28 877,Automatic,Great Price,R 233 900
Suzuki,ined,,ined,,,,
Suzuki,Suzuki Swift,1.2 GL,Suzu,28 536,Manual,Great Price,R 202 900
Suzuki,Suzuki Swift,1.2 GL,Suzu,126 000,Manual,Great Price,R 159 900
Suzuki,Suzuki Ignis,1.2 GLX Auto,Suzu,11 000,Automatic,Great Price,R 199 900
Suzuki,Suzuki Vitara Brezza,1.5 GLX Auto,Suzu,31 000,Automatic,Great Price,R 259 995
Suzuki,Suzuki Swift,1.2 GLX Auto,Suzu,50 500,Automatic,Great Price,R 209 900
Suzuki,Suzuki Jimny,1.5 GLX AllGrip Auto,Suzu,28 000,Automatic,Fair Price,R 359 999
Suzuki,Suzuki Swift,1.2 GLX,Suzu,42 253,Manual,Fair Price,R 209 900
Suzuki,Suzuki Baleno,1.5 GL Manual,Suzu,32 358,Manual,Fair Price,R 209 900
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Swift,1.2 GL Auto,Suzu,34 695,Automatic,Great Price,R 195 000
Suzuki,Suzuki Eeco,1.2 Panel Van,Suzu,6 485,Manual,No Rating,R 199 900
Suzuki,Suzuki S-Presso,1.0 GL Auto,Suzu,33 334,Automatic,Fair Price,R 169 950
Suzuki,Suzuki Fronx,1.5 GL Manual,Suzu,19 500,Manual,Fair Price,R 269 900
Suzuki,Suzuki Swift,1.2 GL,Suzu,108 000,Manual,Great Price,R 149 900
Suzuki,Suzuki Grand Vitara,1.5 GLX Auto,Suzu,17 600,Automatic,Great Price,R 349 900
Suzuki,Suzuki Ciaz,1.5 GLX Manual,Suzu,35 000,Manual,Fair Price,R 239 900
Suzuki,Suzuki Fronx,1.5 GLX Auto,Suzu,17 666,Automatic,Fair Price,R 339 800
Suzuki,Suzuki Fronx,1.5 GLX Auto,Suzu,6 000,Automatic,No Rating,R 339 800
Suzuki,Suzuki Swift,1.2 GL,Suzu,82 000,Manual,Fair Price,R 179 900
Suzuki,Suzuki Vitara Brezza,1.5 GLX,Suzu,98 000,Manual,Fair Price,R 239 900
Suzuki,Suzuki Jimny,1.3 Auto,Suzu,87 000,Automatic,Great Price,R 219 900
Suzuki,Suzuki Swift,1.2 GLX Auto,Suzu,101,Automatic,No Rating,R 273 999
Suzuki,Suzuki Fronx,1.5 GLX Auto,Suzu,101,Automatic,No Rating,R 339 500
Suzuki,Suzuki Fronx,1.5 GLX Auto,Suzu,101,Automatic,No Rating,R 336 500
Suzuki,,,,,,Fair Price,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki DZire,1.2 GA,Suzu,150,Manual,No Rating,R 249 950
Suzuki,Suzuki Swift,1.2 GL,Suzu,200,Manual,No Rating,R 239 950
Suzuki,Suzuki Swift,1.2 GL,Suzu,200,Manual,No Rating,R 239 950
Suzuki,Suzuki Swift,1.2 GL,Suzu,200,Manual,No Rating,R 239 950
Suzuki,Suzuki Fronx,1.5 GL Auto,Suzu,46 142,Automatic,Fair Price,R 299 900
Suzuki,Suzuki Fronx,1.5 GL Auto,Suzu,45 180,Automatic,Fair Price,R 299 900
Suzuki,Suzuki Baleno,1.5 GLX Auto,Suzu,21 500,Automatic,Fair Price,R 299 900
Suzuki,Suzuki Swift,1.2 GL+ Manual,Suzu,19 208,Manual,Great Price,R 219 900
Suzuki,Suzuki Ertiga,1.5 GA,Suzu,1 500,Manual,No Rating,R 314 900
Suzuki,Suzuki Fronx,1.5 GL Manual,Suzu,39 889,Manual,Fair Price,R 274 800
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Vitara Brezza,1.5 GL,Suzu,80 000,Manual,Great Price,R 199 900
Suzuki,Suzuki Grand Vitara,1.5 GLX Manual,Suzu,47 000,Manual,Fair Price,R 319 450
Suzuki,Suzuki Fronx,1.5 GLX Auto,Suzu,16 000,Automatic,Great Price,R 309 900
Suzuki,Suzuki Swift,1.4T Sport Auto,Suzu,37 105,Automatic,Fair Price,R 379 890
Suzuki,Suzuki Swift,1.2 GL+ CVT,Suzu,25 374,Automatic,Great Price,R 209 900
Suzuki,Suzuki Swift,1.2 GL+ CVT,Suzu,26 977,Automatic,Great Price,R 209 900
Suzuki,Suzuki Baleno,1.5 GLX Auto,Suzu,10 500,Automatic,No Rating,R 309 950
Suzuki,Suzuki Jimny,1.5 Gl Allgrip 5-door Manual,Suzu,Man,Petrol,No Rating,R 427 900
Suzuki,Suzuki Ertiga,1.5 GA,Suzu,400,Manual,No Rating,R 349 900
Suzuki,ined,,ined,,,,
Suzuki,Suzuki Fronx,1.5 GLX Auto,Suzu,101,Automatic,No Rating,R 339 500
Suzuki,Suzuki Fronx,1.5 GLX Auto,Suzu,101,Automatic,No Rating,R 336 500
Suzuki,Suzuki Swift,1.2 GL+ CVT,Suzu,26 729,Automatic,Fair Price,R 239 901
Suzuki,Suzuki Ertiga,1.5 GA,Suzu,1 000,Manual,No Rating,R 379 900
Suzuki,Suzuki Swift,1.2 GA,Suzu,62 000,Manual,Great Price,R 169 999
Suzuki,Suzuki Fronx,1.5 GL Manual,Suzu,31 063,Manual,Great Price,R 269 900
Suzuki,,,,,,Great Price,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,Fair Price,
Suzuki,Suzuki Ertiga,1.5 GA,Suzu,75 443,Manual,Fair Price,R 289 900
Suzuki,Suzuki Swift,1.2 GL,Suzu,6 022,Manual,Great Price,R 199 990
Suzuki,Suzuki S-Presso,1.0 GL Auto,Suzu,79 500,Automatic,Great Price,R 149 900
Suzuki,Suzuki S-Presso,1.0 GL+,Suzu,59 000,Manual,Fair Price,R 158 888
Suzuki,Suzuki Fronx,1.5 GL Auto,Suzu,3 346,Automatic,No Rating,R 304 900
Suzuki,Suzuki Swift,1.2 GL+ Auto,Suzu,7 850,Automatic,No Rating,R 255 900
Suzuki,Suzuki Swift,1.2 GL+ Manual,Suzu,4 500,Manual,No Rating,R 229 900
Suzuki,Suzuki DZire,1.2 GA,Suzu,15,Manual,No Rating,R 219 900
Suzuki,Suzuki Swift,1.2 GL+ Manual,Suzu,15,Manual,No Rating,R 229 900
Suzuki,Suzuki Fronx,1.5 GL Auto,Suzu,9 928,Automatic,Great Price,R 288 800
Suzuki,ined,,ined,,,,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Fronx,1.5 GL Manual,Suzu,16 492,Manual,Great Price,R 269 800
Suzuki,Suzuki Swift,1.2 GL+ Manual,Suzu,15,Manual,No Rating,R 229 900
Suzuki,Suzuki Swift,1.2 GL+ Manual,Suzu,11 313,Manual,Great Price,R 214 900
Suzuki,Suzuki Baleno,1.5 GLX Auto,Suzu,9 400,Automatic,No Rating,R 309 900
Suzuki,Suzuki Swift,1.2 GLX Auto,Suzu,15,Automatic,No Rating,R 274 900
Suzuki,Suzuki Ciaz,1.5 GLX Auto,Suzu,30 792,Automatic,Fair Price,R 259 900
Suzuki,Suzuki Jimny,1.5 Glx Allgrip 5-door Auto,Suzu,17 800,Automatic,Great Price,R 389 900
Suzuki,Suzuki Swift,1.2 GL,Suzu,Man,Petrol,No Rating,R 222 900
Suzuki,Suzuki Fronx,1.5 GL Manual,Suzu,Man,Petrol,No Rating,R 279 900
Suzuki,Suzuki Baleno,1.5 GL Auto,Suzu,Automa,Petrol,No Rating,R 279 900
Suzuki,Suzuki Swift,1.2 GL,Suzu,Man,Petrol,No Rating,R 217 900
Suzuki,Suzuki Swift,1.2 GLX Manual,Suzu,Man,Petrol,No Rating,R 257 900
Suzuki,Suzuki Swift,1.2 GLX Auto,Suzu,Automa,Petrol,No Rating,R 279 900
Suzuki,Suzuki Jimny,1.5 GLX AllGrip Auto,Suzu,Automa,Petrol,No Rating,R 477 900
Suzuki,Suzuki Swift,1.2 GLX Auto,Suzu,Automa,Petrol,No Rating,R 279 900
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Celerio,1.0 GL Auto,Suzu,Automa,Petrol,No Rating,R 219 900
Suzuki,Suzuki Fronx,1.5 GL Auto,Suzu,Automa,Petrol,No Rating,R 304 900
Suzuki,Suzuki Fronx,1.5 GL Manual,Suzu,Man,Petrol,No Rating,R 284 900
Suzuki,Suzuki Fronx,1.5 GLX Auto,Suzu,Automa,Petrol,No Rating,R 348 900
Suzuki,Suzuki Swift,1.2 GL+ Auto,Suzu,Automa,Petrol,No Rating,R 259 900
Suzuki,Suzuki Ertiga,1.5 GL Auto,Suzu,3 000,Automatic,No Rating,R 339 900
Suzuki,Suzuki Swift,1.2 GL+ Auto,Suzu,Automa,Petrol,No Rating,R 259 900
Suzuki,Suzuki Fronx,1.5 GL Auto,Suzu,Automa,Petrol,No Rating,R 304 900
Suzuki,Suzuki Swift,1.2 GL+ Manual,Suzu,Man,Petrol,No Rating,R 234 900
Suzuki,Suzuki Super Carry,1.2,Suzu,Man,Petrol,No Rating,R 181 900
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Fronx,1.5 GL Auto,Suzu,Automa,Petrol,No Rating,R 304 900
Suzuki,Suzuki Ertiga,1.5 GA,Suzu,Man,Petrol,No Rating,R 305 000
Suzuki,Suzuki DZire,1.2 GL+ Manual,Suzu,Man,Petrol,No Rating,R 252 900
Suzuki,Suzuki Swift,1.2 GLX Auto,Suzu,300,Automatic,No Rating,R 299 900
Suzuki,Suzuki Jimny,1.5 GLX AllGrip Auto,Suzu,31 000,Automatic,Fair Price,R 369 900
Suzuki,Suzuki Swift,1.2 GLX Auto,Suzu,1 500,Automatic,No Rating,R 289 900
Suzuki,Suzuki DZire,1.2 GL,Suzu,66 100,Manual,Fair Price,R 179 900
Suzuki,Suzuki Swift,1.2 GL+ Auto,Suzu,19 812,Automatic,Fair Price,R 239 000
Suzuki,Suzuki Swift,1.2 GL+ Manual,Suzu,4 000,Manual,No Rating,R 239 950
Suzuki,ined,,ined,,,,
Suzuki,Suzuki Across,1.5 GL Manual,Suzu,10,Manual,No Rating,R 349 900
Suzuki,Suzuki Swift,1.2 GL Auto,Suzu,87 000,Automatic,Fair Price,R 209 900
Suzuki,Suzuki Ciaz,1.5 GL Manual,Suzu,45 000,Manual,Great Price,R 209 950
Suzuki,Suzuki Swift,1.2 GL+ Manual,Suzu,25 360,Manual,Great Price,R 209 000
Suzuki,Suzuki Jimny,1.5 Glx Allgrip 5-door Auto,Suzu,4 300,Automatic,No Rating,R 439 900
Suzuki,Suzuki Baleno,1.5 GL Manual,Suzu,22 000,Manual,Fair Price,R 229 950
Suzuki,,,,,,No Rating,
Suzuki,,,,,,Great Price,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Swift,1.2 GL+ CVT,Suzu,32 691,Automatic,Fair Price,R 239 499
Suzuki,Suzuki Swift,1.2 GL+ Manual,Suzu,43 921,Manual,Fair Price,R 209 499
Suzuki,Suzuki Grand Vitara,1.5 GL Auto,Suzu,28 000,Automatic,Fair Price,R 319 800
Suzuki,Suzuki Baleno,1.5 GL Auto,Suzu,4 000,Automatic,No Rating,R 269 900
Suzuki,Suzuki Swift,1.2 GL,Suzu,101,Manual,No Rating,R 258 888
Suzuki,Suzuki S-Presso,1.0 GL+,Suzu,51 500,Manual,Great Price,R 149 500
Suzuki,Suzuki Grand Vitara,1.5 GL Auto,Suzu,17 000,Automatic,Great Price,R 299 950
Suzuki,Suzuki Ciaz,1.5 GLX Auto,Suzu,30 518,Automatic,Fair Price,R 259 900
Suzuki,Suzuki Ciaz,1.5 GLX Manual,Suzu,32 674,Manual,Fair Price,R 239 901
Suzuki,Suzuki Swift,1.2 GL+ CVT,Suzu,29 845,Automatic,Fair Price,R 239 901
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Swift,1.2 GL+ CVT,Suzu,30 681,Automatic,Fair Price,R 239 901
Suzuki,Suzuki Ertiga,1.5 GA,Suzu,15 745,Manual,No Rating,R 359 900
Suzuki,Suzuki Vitara Brezza,1.5 GLX Auto,Suzu,58 000,Automatic,Great Price,R 249 900
Suzuki,Suzuki Swift,1.2 GL+ Manual,Suzu,17 862,Manual,Fair Price,R 229 900
Suzuki,Suzuki Jimny,1.3,Suzu,121 700,Manual,Fair Price,R 224 999
Suzuki,Suzuki Fronx,1.5 GL Manual,Suzu,26 420,Manual,Great Price,R 269 900
Suzuki,Suzuki Swift,1.2 GLX Auto,Suzu,34 790,Automatic,Fair Price,R 229 900
Suzuki,Suzuki Splash,1.2 GA,Suzu,245 000,Manual,No Rating,R 69 900
Suzuki,Suzuki Swift,1.2 GL Auto,Suzu,19 000,Automatic,Fair Price,R 219 899
Suzuki,ined,,ined,,,,
Suzuki,Suzuki S-Presso,1.0 GL+,Suzu,37 000,Manual,Fair Price,R 149 899
Suzuki,Suzuki Vitara Brezza,1.5 GLX,Suzu,51 441,Manual,Great Price,R 239 950
Suzuki,Suzuki Fronx,1.5 GLX Auto,Suzu,1 500,Automatic,No Rating,R 364 900
Suzuki,Suzuki Swift,1.2 GL,Suzu,60 000,Manual,Fair Price,R 184 900
Suzuki,Suzuki Swift,1.2 GA,Suzu,40 000,Manual,Great Price,R 179 900
Suzuki,Suzuki Vitara Brezza,1.5 GLX Auto,Suzu,99 800,Automatic,Great Price,R 239 900
Suzuki,,,,,,No Rating,
Suzuki,,,,,,High Price,
Suzuki,,,,,,Fair Price,
Suzuki,Suzuki Baleno,1.5 GLX Manual,Suzu,28 000,Manual,Fair Price,R 249 900
Suzuki,Suzuki Swift,1.2 GA,Suzu,66 000,Manual,Fair Price,R 179 850
Suzuki,Suzuki Swift,1.2 GL,Suzu,38 293,Manual,Fair Price,R 209 990
Suzuki,Suzuki Baleno,1.5 GL Auto,Suzu,3 000,Automatic,No Rating,R 269 900
Suzuki,Suzuki Swift,1.2 GL+ CVT,Suzu,24 000,Automatic,Fair Price,R 234 800
Suzuki,Suzuki Swift,1.2 GL+ CVT,Suzu,23 146,Automatic,Fair Price,R 224 900
Suzuki,Suzuki Fronx,1.5 GLX Manual,Suzu,7 030,Manual,No Rating,R 329 900
Suzuki,Suzuki S-Presso,1.0 GL+ Auto,Suzu,10 217,Automatic,No Rating,R 194 900
Suzuki,Suzuki Ciaz,1.5 GLX Auto,Suzu,54 000,Automatic,Fair Price,R 259 900
Suzuki,Suzuki DZire,1.2 GA,Suzu,50,Manual,No Rating,R 249 950
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
