Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Toyota,,,,,,High Price,
Toyota,,,,,,No Rating,
Toyota,,,,,,Great Price,
Toyota,Toyota Fortuner,3.0D-4D,Toyo,227 000,Manual,Great Price,R 189 950
Toyota,Toyota Hilux,2.4GD-6 4x4 SR,Toyo,237 000,Manual,Great Price,R 299 900
Toyota,Toyota Rumion,1.5 SX Manual,Toyo,14 348,Manual,Great Price,R 319 900
Toyota,Toyota Rumion,1.5 SX Manual,Toyo,16 138,Manual,Great Price,R 319 900
Toyota,Toyota Hilux,2.4GD S (Aircon),Toyo,154 092,Manual,Great Price,R 319 900
Toyota,Toyota Hilux,2.4GD-6 Double Cab 4x4 Raider,Toyo,118 956,Manual,Great Price,R 464 800
Toyota,Toyota RAV4,2.0 GX Auto,Toyo,102 000,Automatic,Great Price,R 349 900
Toyota,Toyota Land Cruiser 300,3.5T ZX,Toyo,30 000,Automatic,Great Price,R 1 759 950
Toyota,Toyota Hilux,2.4GD-6 Double Cab 4x4 Raider Auto,Toyo,45 222,Automatic,Great Price,R 589 900
Toyota,Toyota Hilux,2.8GD-6 Double Cab 4x4 GR-Sport,Toyo,6 831,Automatic,Great Price,R 979 900
Toyota,,,,,,No Rating,
Toyota,,,,,,No Rating,
Toyota,,,,,,No Rating,
Toyota,Toyota Land Cruiser Prado,2.8GD VX-R,Toyo,15 246,Automatic,Great Price,R 1 449 900
Toyota,Toyota Hilux,2.4GD-6 Xtra cab SRX,Toyo,191 500,Manual,Great Price,R 319 900
Toyota,Toyota Urban Cruiser,1.5 XR Auto,Toyo,18 119,Automatic,Great Price,R 334 800
Toyota,Toyota Starlet Cross,1.5 XR Manual,Toyo,21 558,Manual,Great Price,R 304 800
Toyota,Toyota Corolla Cross,1.8 HEV XS,Toyo,15 886,Automatic,Great Price,R 409 800
Toyota,Toyota Land Cruiser 300,3.3D ZX,Toyo,11 000,Automatic,Great Price,R 1 879 900
Toyota,Toyota Starlet,1.4 Xi,Toyo,88 100,Manual,Great Price,R 179 900
Toyota,Toyota Land Cruiser Prado,2.8GD TX,Toyo,23 000,Automatic,Great Price,R 1 179 900
Toyota,Toyota Starlet Cross,1.5 XS Manual,Toyo,30 177,Manual,Great Price,R 284 900
Toyota,Toyota Land Cruiser Prado,3.0DT VX,Toyo,163 000,Automatic,Great Price,R 489 900
Toyota,ined,,ined,,,,
Toyota,Toyota C-HR,1.2T Plus Auto,Toyo,125 500,Automatic,Great Price,R 269 950
Toyota,Toyota Starlet,1.5 XS Manual,Toyo,29 128,Manual,,POA
Toyota,Toyota Quantum,2.7 Sesfikile,Toyo,16 000,Manual,No Rating,R 499 950
Toyota,Toyota Corolla Cross,1.8 Hybrid XS,Toyo,54 054,Automatic,Fair Price,R 399 900
Toyota,Toyota Urban Cruiser,1.5 XR Auto,Toyo,37 500,Automatic,Great Price,R 269 900
Toyota,,,,,,Fair Price,
Toyota,,,,,,No Rating,
Toyota,,,,,,Fair Price,
Toyota,Toyota Urban Cruiser,1.5 XS,Toyo,30 965,Manual,No Rating,R 319 900
Toyota,Toyota Hilux,2.8GD-6 Xtra Cab Legend Auto,Toyo,138 840,Automatic,Fair Price,R 499 900
Toyota,ined,,ined,,,,
Toyota,Toyota RAV4,2.0 GX,Toyo,165 952,Manual,Fair Price,R 229 900
Toyota,Toyota Starlet,1.5 XS Manual,Toyo,21 962,Manual,Great Price,R 239 950
Toyota,Toyota Fortuner,2.8GD-6 4x4 GR-Sport,Toyo,8 500,Automatic,Great Price,R 849 900
Toyota,Toyota Corolla Cross,1.8 XR,Toyo,33 000,Automatic,Great Price,R 354 500
Toyota,Toyota Hilux,2.8GD-6 Double Cab 4x4 Raider,Toyo,238 552,Manual,Great Price,R 389 800
Toyota,Toyota Vitz,1.0 XR Manual,Toyo,45 100,Manual,Great Price,R 169 995
Toyota,Toyota Starlet,1.5 XS Manual,Toyo,40 280,Manual,Great Price,R 235 000
Toyota,Toyota Corolla Cross,1.8 XS,Toyo,4 900,Automatic,Great Price,R 390 000
Toyota,,,,,,No Rating,
Toyota,,,,,,No Rating,
Toyota,,,,,,No Rating,
Toyota,Toyota Starlet,1.5 Xi,Toyo,32 573,Manual,Fair Price,R 219 900
Toyota,Toyota Hilux,2.4GD S (Aircon),Toyo,114 000,Manual,Fair Price,R 329 990
Toyota,Toyota Urban Cruiser,1.5 XR Auto,Toyo,10 518,Automatic,Great Price,R 339 900
Toyota,Toyota Urban Cruiser,1.5 XS,Toyo,48 510,Manual,Great Price,R 239 900
Toyota,Toyota Corolla Cross,1.8 XR,Toyo,1 258,Automatic,No Rating,R 479 800
Toyota,Toyota Starlet,1.5 XS Manual,Toyo,149 000,Manual,Great Price,R 179 990
Toyota,Toyota Land Cruiser 79,4.5D-4D LX V8 Double Cab,Toyo,3 650,Manual,Great Price,R 1 479 999
Toyota,Toyota Starlet,1.5 Xi,Toyo,65 460,Manual,Fair Price,R 209 900
Toyota,Toyota Hilux,2.4GD-6 Double Cab 4x4 Raider Auto,Toyo,65 653,Automatic,Fair Price,R 599 900
Toyota,Toyota Etios,hatch 1.5 Sprint,Toyo,18 000,Manual,Fair Price,R 179 900
Toyota,Toyota Starlet,1.5 XS Manual,Toyo,49 000,Manual,Great Price,R 229 699
Toyota,Toyota Corolla Cross,1.8 GR-Sport,Toyo,8 000,Automatic,Great Price,R 449 900
Toyota,Toyota Starlet,1.5 Xi,Toyo,37 573,Manual,Great Price,R 223 400
Toyota,Toyota Corolla Cross,1.8 Xi,Toyo,25 000,Automatic,Great Price,R 314 995
Toyota,Toyota Land Cruiser 76,2.8GD-6 Station Wagon,Toyo,15 000,Automatic,Great Price,R 1 039 999
Toyota,,,,,,No Rating,
Toyota,,,,,,Fair Price,
Toyota,,,,,,Great Price,
Toyota,Toyota Land Cruiser 300,3.3D GR-Sport,Toyo,13 800,Automatic,Great Price,R 2 079 000
Toyota,Toyota Starlet Cross,1.5 XS Auto,Toyo,28 000,Automatic,Great Price,R 299 890
Toyota,Toyota Hilux,2.4GD-6 Double Cab 4x4 Raider Auto,Toyo,44 859,Automatic,Great Price,R 590 000
Toyota,Toyota Urban Cruiser,1.5 XR Auto,Toyo,65 000,Automatic,Great Price,R 259 900
Toyota,Toyota Starlet Cross,1.5 XR Auto,Toyo,8 650,Automatic,Great Price,R 348 900
Toyota,Toyota Vitz,1.0 XR Manual,Toyo,11 687,Manual,Great Price,R 199 000
Toyota,Toyota Urban Cruiser,1.5 XR Auto,Toyo,32 000,Automatic,Great Price,R 319 900
Toyota,Toyota Urban Cruiser,1.5 XR Manual,Toyo,37 188,Manual,Great Price,R 282 900
Toyota,Toyota Land Cruiser Prado,2.8GD TX,Toyo,31 780,Automatic,Great Price,R 1 199 990
Toyota,Toyota Land Cruiser 300,3.5T GR-Sport,Toyo,38 505,Automatic,Great Price,R 1 779 900
Toyota,,,,,,Fair Price,
Toyota,,,,,,No Rating,
Toyota,,,,,,Fair Price,
Toyota,Toyota Corolla Quest,1.8 Plus Auto,Toyo,41 000,Automatic,Fair Price,R 249 900
Toyota,ined,,ined,,,,
Toyota,Toyota Etios,Hatch 1.5 Xi,Toyo,39 000,Manual,No Rating,R 159 950
Toyota,Toyota Hilux,2.8GD-6 Xtra Cab Legend 55,Toyo,7 322,Automatic,No Rating,R 699 900
Toyota,Toyota RAV4,2.0 GX Auto,Toyo,192 538,Automatic,Fair Price,R 239 900
Toyota,Toyota Corolla Quest,1.8 Plus,Toyo,52 000,Manual,Great Price,R 239 900
Toyota,Toyota Quantum,2.8 LWB Bus 6-seater VX Premium,Toyo,16 060,Automatic,No Rating,R 1 299 900
Toyota,Toyota GR Supra,3.0T,Toyo,53 742,Automatic,Fair Price,R 879 900
Toyota,Toyota Land Cruiser 79,4.0 V6,Toyo,26 000,Manual,Fair Price,R 739 900
Toyota,Toyota Fortuner,2.8GD-6 VX,Toyo,85 000,Automatic,Fair Price,R 599 950
Toyota,Toyota Land Cruiser 79,Land Cruiser 79 4.5D-4D LX V8,Toyo,273 363,Manual,Great Price,R 619 900
Toyota,Toyota Hilux,2.8GD-6 Double Cab Raider auto,Toyo,132 288,Automatic,Fair Price,R 439 800
Toyota,Toyota Corolla Cross,1.8 HEV XR,Toyo,2 012,Automatic,No Rating,R 519 800
Toyota,Toyota Hilux,2.8GD-6 Double Cab 4x4 Legend RS Auto,Toyo,81 540,Automatic,Great Price,R 699 899
Toyota,Toyota Rumion,1.5 S,Toyo,200,Manual,No Rating,R 399 800
Toyota,Toyota Quantum,2.8 SLWB Panel Van,Toyo,15 000,Manual,Great Price,R 599 900
Toyota,,,,,,No Rating,
Toyota,,,,,,Fair Price,
Toyota,,,,,,Fair Price,
Toyota,Toyota Starlet,1.5 Xi,Toyo,141 000,Manual,Great Price,R 169 990
Toyota,Toyota Quantum,2.5D-4D Sesfikile,Toyo,127 000,Manual,High Price,R 489 950
Toyota,Toyota Land Cruiser 79,4.5D-4D LX V8 Double Cab,Toyo,15 527,Manual,Fair Price,R 1 599 900
Toyota,Toyota RAV4,2.0 GX Auto,Toyo,137 233,Automatic,Great Price,R 319 995
Toyota,Toyota Corolla Cross,1.8 HEV XR,Toyo,5 000,Automatic,Great Price,R 469 950
Toyota,Toyota Fortuner,2.8GD-6 Auto,Toyo,141 000,Automatic,Fair Price,R 409 900
Toyota,Toyota Hilux,2.4GD-6 Double Cab 4x4 Raider Auto,Toyo,35 593,Automatic,Great Price,R 590 000
Toyota,Toyota Hilux,2.4GD-6 Double Cab 4x4 Raider Auto,Toyo,39 641,Automatic,Great Price,R 590 000
Toyota,Toyota Fortuner,2.8GD-6,Toyo,36 000,Automatic,Great Price,R 599 900
Toyota,Toyota Hilux,2.4GD (Aircon),Toyo,188 000,Manual,Great Price,R 229 990
Toyota,,,,,,Fair Price,
Toyota,,,,,,High Price,
Toyota,,,,,,Fair Price,
Toyota,Toyota Fortuner,2.8GD-6 4x4 GR-Sport,Toyo,21 500,Automatic,No Rating,R 879 900
Toyota,Toyota Land Cruiser 300,3.3D GX-R,Toyo,23 000,Automatic,Fair Price,R 1 549 900
Toyota,Toyota Land Cruiser 79,2.8GD-6 Double Cab,Toyo,2 277,Automatic,Great Price,R 1 050 900
Toyota,Toyota Hilux,2.4GD (Aircon),Toyo,258 000,Manual,Great Price,R 229 990
Toyota,Toyota Vitz,1.0 XR Auto,Toyo,771,Automatic,Great Price,R 209 900
Toyota,Toyota Fortuner,2.8GD-6 4x4 GR-Sport,Toyo,18 000,Automatic,Fair Price,R 879 900
Toyota,ined,,ined,,,,
Toyota,Toyota Corolla Cross,1.8 XS,Toyo,38 359,Automatic,Great Price,R 348 400
Toyota,Toyota Hilux,2.4GD-6 4x4 SR,Toyo,234 079,Manual,Great Price,R 359 900
Toyota,Toyota Urban Cruiser,1.5 Xi,Toyo,82 500,Manual,Fair Price,R 229 900
Toyota,Toyota Starlet,1.5 XS Manual,Toyo,57 000,Manual,Fair Price,R 239 800
Toyota,Toyota Urban Cruiser,1.5 XS,Toyo,36 000,Manual,Fair Price,R 299 900
Toyota,Toyota Hilux,2.4GD-6 Double Cab SRX,Toyo,253 000,Manual,Fair Price,R 339 900
Toyota,Toyota Rumion,1.5 S,Toyo,Man,Petrol,No Rating,R 349 950
Toyota,Toyota Starlet,1.5 Xi,Toyo,33 500,Manual,Fair Price,R 229 900
Toyota,Toyota Land Cruiser Prado,2.8GD VX,Toyo,93 230,Automatic,Fair Price,R 959 900
Toyota,,,,,,Fair Price,
Toyota,,,,,,Fair Price,
Toyota,,,,,,No Rating,
Toyota,Toyota Urban Cruiser,1.5 XR,Toyo,19 885,Manual,Fair Price,R 269 800
Toyota,Toyota Agya,1.0 Auto (Audio),Toyo,75 595,Automatic,Fair Price,R 179 800
Toyota,Toyota Hilux,2.8GD-6 Double Cab 4x4 Legend RS Auto,Toyo,93 500,Automatic,Fair Price,R 719 990
