Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Volvo,,,,,,No Rating,
Volvo,,,,,,No Rating,
Volvo,,,,,,No Rating,
Volvo,Volvo XC40,T5 AWD Inscription,Volv,82 000,Automatic,No Rating,R 479 900
Volvo,Volvo V40,D3 Inscription,Volv,193 500,Automatic,No Rating,R 189 900
Volvo,Volvo XC90,D5 AWD Inscription,Volv,84 000,Automatic,Great Price,R 599 900
Volvo,Volvo XC90,D5 AWD R-Design,Volv,227 950,Automatic,No Rating,R 319 950
Volvo,Volvo XC90,D5 AWD R-Design,Volv,80 000,Automatic,Fair Price,R 599 950
Volvo,Volvo XC40,T3 Momentum Auto,Volv,115 000,Automatic,No Rating,R 299 900
Volvo,Volvo XC90,T8 Recharge AWD Ultra Dark,Volv,14 000,Automatic,No Rating,R 1 499 900
Volvo,Volvo XC60,T6 AWD Inscription,Volv,130 656,Automatic,No Rating,R 269 900
Volvo,Volvo EX30,Cross Country Ultra Twin Motor Performance,Volv,500,Automatic,No Rating,R 1 169 950
Volvo,ined,,ined,,,,
Volvo,Volvo XC90,T8 Plug-in Hybrid AWD Plus Bright,Volv,1 500,Automatic,No Rating,R 1 834 950
Volvo,,,,,,No Rating,
Volvo,,,,,,No Rating,
Volvo,,,,,,No Rating,
Volvo,Volvo XC60,T5 AWD Inscription,Volv,143 000,Automatic,No Rating,R 399 900
Volvo,Volvo XC40,B3 Plus Dark,Volv,119 000,Automatic,No Rating,R 399 950
Volvo,Volvo V40,T3 Excel,Volv,113 745,Manual,No Rating,R 169 900
Volvo,Volvo XC40,T3 Inscription,Volv,59 500,Automatic,No Rating,R 469 950
Volvo,Volvo XC90,D5 AWD R-Design,Volv,128 000,Automatic,Fair Price,R 599 950
Volvo,Volvo XC90,B5 AWD Ultra Dark,Volv,100,Automatic,No Rating,R 1 574 950
Volvo,Volvo EX30,Single Motor Extended Range Plus,Volv,100,Automatic,No Rating,R 889 950
Volvo,Volvo XC40,B4 Plus Dark,Volv,100,Automatic,No Rating,R 839 950
Volvo,Volvo XC40,D4 AWD R-Design,Volv,63 500,Automatic,Great Price,R 459 990
Volvo,Volvo XC90,D5 AWD R-Design,Volv,77 000,Automatic,No Rating,R 729 900
Volvo,Volvo EX30,Single Motor Core,Volv,50,Automatic,No Rating,R 735 000
Volvo,Volvo EX30,Single Motor Core,Volv,50,Automatic,No Rating,R 735 000
Volvo,Volvo EX30,Single Motor Core,Volv,50,Automatic,No Rating,R 735 000
Volvo,Volvo EX30,Single Motor Core,Volv,50,Automatic,No Rating,R 735 000
Volvo,Volvo EX30,Single Motor Core,Volv,50,Automatic,No Rating,R 735 000
Volvo,,,,,,No Rating,
Volvo,,,,,,No Rating,
Volvo,,,,,,Great Price,
Volvo,Volvo XC60,D4 AWD Inscription,Volv,180 500,Automatic,Great Price,R 334 950
Volvo,Volvo EX30,Single Motor Core,Volv,50,Automatic,No Rating,R 735 000
Volvo,Volvo EX30,Single Motor Core,Volv,50,Automatic,No Rating,R 735 000
Volvo,Volvo EX30,Single Motor Core,Volv,50,Automatic,No Rating,R 735 000
Volvo,Volvo EX30,Single Motor Core,Volv,50,Automatic,No Rating,R 735 000
Volvo,Volvo EX30,Single Motor Core,Volv,50,Automatic,No Rating,R 735 000
Volvo,Volvo EX30,Single Motor Core,Volv,50,Automatic,No Rating,R 735 000
Volvo,Volvo XC60,T8 Recharge AWD R-Design,Volv,48 500,Automatic,No Rating,R 819 950
Volvo,Volvo XC40,P6 Recharge Single Motor Plus,Volv,12 600,Automatic,No Rating,R 819 950
Volvo,Volvo XC40,B4 Plus Dark,Volv,101,Automatic,No Rating,R 819 950
Volvo,,,,,,No Rating,
Volvo,,,,,,No Rating,
Volvo,,,,,,No Rating,
Volvo,Volvo XC40,T3 Momentum,Volv,44 000,Automatic,No Rating,R 389 900
Volvo,Volvo XC40,B4 Plus Dark,Volv,101,Automatic,No Rating,R 819 950
Volvo,Volvo XC40,B4 Plus Dark,Volv,101,Automatic,No Rating,R 819 950
Volvo,Volvo C40,P8 Recharge Twin Motor Ultimate,Volv,48 150,Automatic,Great Price,R 649 990
